tsebe	ts> E b E
bopelonomi	b O p> E l O n O m i
nyeletse	J E l E ts> E
tlhagolela	tlh a x O l E l a
nthapelele	n th a p> E l E l E
latlhiwang	l a tlh i w a N
ganne	x a n n E
bulela	b u l E l a
ditlhotlhomiso	d i tlh O tlh O m i s O
lobela	l O b E l a
tshepisitse	tsh E p> i s i ts> E
dikgoto	d i kx O t> O
babatsa	b a b a ts> a
katiseditsweng	k> a t> i s E d i ts> w E N
boke	b O k> E
hema	h E m a
masimong	m a s i m O N
nyalanang	J a l a n a N
thwetse	th w E ts> E
kwalololwa	k> w a l O l O l w a
bakwa	b a k> w a
kopanang	k> O p> a n a N
lwa	l w a
khaontareng	kh a O n t> a r E N
bokamoso	b O k> a m O s O
phophomang	ph O ph O m a N
dinokana	d i n O k> a n a
medumopuo	m E d u m O p> u O
ipoloka	i p> O l O k> a
letlhokwana	l E tlh O k> w a n a
nalo	n a l O
nela	n E l a
dipasa	d i p> a s a
boile	b O i l E
begilweng	b E x i l w E N
dirisediwang	d i r i s E d i w a N
mmaetsho	m m a E tsh O
dimpho	d i m ph O
motsopodia	m O ts> O p> O d i a
tshwariwang	tsh w a r i w a N
ngolwana	N O l w a n a
dithekethe	d i th E k> E th E
kuketse	k> u k> E ts> E
diterata	d i t> E r a t> a
tamong	t> a m O N
dikgotlhwana	d i kx O tlh w a n a
serwalwa	s E r w a l w a
thuthafatsa	th u th a f a ts> a
leta	l E t> a
bosi	b O s i
phepafatso	ph E p> a f a ts> O
kgethololo	kx E th O l O l O
dithulaganyetsong	d i th u l a x a J E ts> O N
bogelela	b O x E l E l a
rulaganyang	r u l a x a J a N
bogwebi	b O x w E b i
sesweu	s E s w E u
thalela	th a l E l a
ikobelang	i k> O b E l a N
mmaphefo	m m a ph E f O
dikgwa	d i kx w a
nolofatso	n O l O f a ts> O
baruakgomo	b a r u a kx O m O
tsweletswa	ts> w E l E ts> w a
tlodisitseng	tl> O d i s i ts> E N
phitlhong	ph i tlh O N
ntiragalela	n t> i r a x a l E l a
pakana	p> a k> a n a
dinkgo	d i n kx O
melelwane	m E l E l w a n E
boago	b O a x O
thusegile	th u s E x i l E
tswelwang	ts> w E l w a N
itiretseng	i t> i r E ts> E N
thato	th a t> O
gamola	x a m O l a
dipoelong	d i p> O E l O N
jesetsang	d0Z E s E ts> a N
lejwang	l E d0Z w a N
dipotsolotso	d i p> O ts> O l O ts> O
dikopanong	d i k> O p> a n O N
ntshitse	n tsh i ts> E
neng	n E N
bolokang	b O l O k> a N
pompa	p> O m p> a
tlhalogantseng	tlh a l O x a n ts> E N
sepedi	s E p> E d i
iteseletsa	i t> E s E l E ts> a
kopanya	k> O p> a J a
makgalo	m a kx a l O
ikwadisetsa	i k> w a d i s E ts> a
lemotshega	l E m O tsh E x a
thaba	th a b a
tikela	t> i k> E l a
dumelelanweng	d u m E l E l a n w E N
itsege	i ts> E x E
lefelafela	l E f E l a f E l a
maswaswa	m a s w a s w a
manana	m a n a n a
feretlha	f E r E tlh a
dintšwa	d i n tS> w a
tshwaregile	tsh w a r E x i l E
lekanetse	l E k> a n E ts> E
motlhang	m O tlh a N
godisitsweng	x O d i s i ts> w E N
kgotelo	kx O t> E l O
tseisomolato	ts> E i s O m O l a t> O
bakela	b a k> E l a
dithulaganyo	d i th u l a x a J O
dumalanele	d u m a l a n E l E
latile	l a t> i l E
dikopelo	d i k> O p> E l O
tswalegileng	ts> w a l E x i l E N
akanyeng	a k> a J E N
agetse	a x E ts> E
tlhapi	tlh a p> i
potsolotso	p> O ts> O l O ts> O
monakaladi	m O n a k> a l a d i
belwa	b E l w a
nnalete	n n a l E t> E
ikaeletsweng	i k> a E l E ts> w E N
alafesega	a l a f E s E x a
bateng	b a t> E N
osi	O s i
kokoana	k> O k> O a n a
tshiamelong	tsh i a m E l O N
tshwabo	tsh w a b O
phaila	ph a i l a
thapamo	th a p> a m O
tlhokagalang	tlh O k> a x a l a N
kgwadi	kx w a d i
gontse	x O n ts> E
botshamekelo	b O tsh a m E k> E l O
diphaphathi	d i ph a ph a th i
senotswe	s E n O ts> w E
masetatšhe	m a s E t> a tSh E
ditso	d i ts> O
gakologelwa	x a k> O l O x E l w a
nyalang	J a l a N
gotlhegotlhe	x O tlh E x O tlh E
motlhokaina	m O tlh O k> a i n a
dibene	d i b E n E
kgatshitswe	kx a tsh i ts> w E
busitswe	b u s i ts> w E
rerwa	r E r w a
ikgarile	i kx a r i l E
badulasetilo	b a d u l a s E t> i l O
letlelela	l E tl> E l E l a
sebono	s E b O n O
dingana	d i N a n a
rapaletse	r a p> a l E ts> E
moamogeding	m O a m O x E d i N
safa	s a f a
metemeng	m E t> E m E N
gasiwang	x a s i w a N
tlhagileng	tlh a x i l E N
serame	s E r a m E
itumelang	i t> u m E l a N
segosi	s E x O s i
rupileng	r u p> i l E N
goleng	x O l E N
rarabololwang	r a r a b O l O l w a N
sikarwa	s i k> a r w a
leseanyana	l E s E a J a n a
ngokelang	N O k> E l a N
iba	i b a
petlo	p> E tl> O
rekegang	r E k> E x a N
rala	r a l a
mutlwane	m u tl> w a n E
gatelelang	x a t> E l E l a N
elang	E l a N
ikgodisa	i kx O d i s a
isong	i s O N
buisane	b u i s a n E
idibetse	i d i b E ts> E
atametse	a t> a m E ts> E
pateleditsweng	p> a t> E l E d i ts> w E N
diketo	d i k> E t> O
pakileng	p> a k> i l E N
lengoleng	l E N O l E N
motlhagareng	m O tlh a x a r E N
kgatlhile	kx a tlh i l E
metlhano	m E tlh a n O
pataganye	p> a t> a x a J E
thukutho	th u k> u th O
bara	b a r a
monneng	m O n n E N
begelang	b E x E l a N
rekisitse	r E k> i s i ts> E
ntaoleng	n t> a O l E N
nonofetseng	n O n O f E ts> E N
tlogetse	tl> O x E ts> E
baakantse	b a k> a n ts> E
boromiwa	b O r O m i w a
tlhoafetse	tlh O a f E ts> E
beeletsa	b E E l E ts> a
lerela	l E r E l a
baruanying	b a r u a J i N
tswelediso	ts> w E l E d i s O
lereng	l E r E N
ngakeng	N a k> E N
dingwaga	d i N w a x a
tlhwatlhwa	tlh w a tlh w a
borukutlhing	b O r u k> u tlh i N
diakhaonto	d i a kh a O n t> O
rutegileng	r u t> E x i l E N
dikologe	d i k> O l O x E
dithusathuto	d i th u s a th u t> O
pounama	p> O u n a m a
mokhino	m O kh i n O
repela	r E p> E l a
faraferwe	f a r a f E r w E
dipolase	d i p> O l a s E
laelana	l a E l a n a
bolebelo	b O l E b E l O
segopotso	s E x O p> O ts> O
babatlisising	b a b a tl> i s i s i N
tswelele	ts> w E l E l E
nyalanngwa	J a l a n N w a
ithulaganyetsa	i th u l a x a J E ts> a
lokololwa	l O k> O l O l w a
marareng	m a r a r E N
khurumetsa	kh u r u m E ts> a
moletlo	m O l E tl> O
raga	r a x a
bukantswe	b u k> a n ts> w E
bokgoning	b O kx O n i N
tlhatlhobelwa	tlh a tlh O b E l w a
kgethololang	kx E th O l O l a N
dirisetsang	d i r i s E ts> a N
ditherisano	d i th E r i s a n O
borrakgwebo	b O r r a kx w E b O
gagamatsa	x a x a m a ts> a
sethoboloko	s E th O b O l O k> O
boifisa	b O i f i s a
bosetšhaba	b O s E tSh a b a
omelela	O m E l E l a
amogelesegang	a m O x E l E s E x a N
sentlhageng	s E n tlh a x E N
medumonyana	m E d u m O J a n a
phofu	ph O f u
mofokotso	m O f O k> O ts> O
timetseng	t> i m E ts> E N
mosepele	m O s E p> E l E
ntsitsibanya	n ts> i ts> i b a J a
taolo	t> a O l O
direleng	d i r E l E N
nontshe	n O n tsh E
modumong	m O d u m O N
jelwa	d0Z E l w a
boitshimololedi	b O i tsh i m O l O l E d i
motlhophiwa	m O tlh O ph i w a
tšhupung	tSh u p> u N
mabelo	m a b E l O
bothani	b O th a n i
palogareng	p> a l O x a r E N
motlhomedi	m O tlh O m E d i
mejakong	m E d0Z a k> O N
dinotlolo	d i n O tl> O l O
sekolong	s E k> O l O N
maso	m a s O
itseng	i ts> E N
kgotlolola	kx O tl> O l O l a
khina	kh i n a
memorantamong	m E m O r a n t> a m O N
leka	l E k> a
befileng	b E f i l E N
kgololesego	kx O l O l E s E x O
ithute	i th u t> E
magare	m a x a r E
feletswe	f E l E ts> w E
reteletsweng	r E t> E l E ts> w E N
botsolotswang	b O ts> O l O ts> w a N
mosego	m O s E x O
mebaleng	m E b a l E N
jini	d0Z i n i
akgotse	a kx O ts> E
mogolong	m O x O l O N
legora	l E x O r a
barati	b a r a t> i
tlhodileng	tlh O d i l E N
maledung	m a l E d u N
monosi	m O n O s i
phatsimang	ph a ts> i m a N
gaba	x a b a
ilediwe	i l E d i w E
tswala	ts> w a l a
romela	r O m E l a
bolokong	b O l O k> O N
ditlhaga	d i tlh a x a
ganetse	x a n E ts> E
bolaisa	b O l a i s a
ntshosa	n tsh O s a
tshwaraganya	tsh w a r a x a J a
dipulo	d i p> u l O
akaretswe	a k> a r E ts> w E
baelatlhoko	b a E l a tlh O k> O
tumediso	t> u m E d i s O
tematheto	t> E m a th E t> O
baruni	b a r u n i
tlalang	tl> a l a N
belaeleng	b E l a E l E N
tliswe	tl> i s w E
sega	s E x a
itlotla	i tl> O tl> a
kgonang	kx O n a N
sekasekwa	s E k> a s E k> w a
katara	k> a t> a r a
nameng	n a m E N
kiletso	k> i l E ts> O
latofadiwa	l a t> O f a d i w a
nku	n k> u
dithebolo	d i th E b O l O
gabalalela	x a b a l a l E l a
tlhokagaleng	tlh O k> a x a l E N
betsega	b E ts> E x a
tsaa	ts> a
fefera	f E f E r a
phasalatsang	ph a s a l a ts> a N
ntswele	n ts> w E l E
setlhana	s E tlh a n a
selebo	s E l E b O
sumo	s u m O
diphatsa	d i ph a ts> a
laletsang	l a l E ts> a N
tlhabologang	tlh a b O l O x a N
tshokamo	tsh O k> a m O
dumalane	d u m a l a n E
felegeditswe	f E l E x E d i ts> w E
okediwa	O k> E d i w a
patagantswe	p> a t> a x a n ts> w E
humisa	h u m i s a
tshelwang	tsh E l w a N
boitlhomo	b O i tlh O m O
ditselakgolo	d i ts> E l a kx O l O
latlhele	l a tlh E l E
simolola	s i m O l O l a
matshwaopuiso	m a tsh w a O p> u i s O
tsone	ts> O n E
solofeditseng	s O l O f E d i ts> E N
kgorong	kx O r O N
rekote	r E k> O t> E
nosediweng	n O s E d i w E N
tshwaragantswe	tsh w a r a x a n ts> w E
kgwetseng	kx w E ts> E N
fetotswe	f E t> O ts> w E
ikuelwa	i k> u E l w a
gakatsa	x a k> a ts> a
magodimo	m a x O d i m O
emiseng	E m i s E N
motlhophi	m O tlh O ph i
getsweng	x E ts> w E N
borataro	b O r a t> a r O
dimenerale	d i m E n E r a l E
pateletsegile	p> a t> E l E ts> E x i l E
yole	j O l E
lebentleleng	l E b E n tl> E l E N
mmoga	m m O x a
kobileng	k> O b i l E N
tlhokang	tlh O k> a N
makgabe	m a kx a b E
utlwile	u tl> w i l E
morerong	m O r E r O N
ngwagola	N w a x O l a
letswaing	l E ts> w a i N
kgogolego	kx O x O l E x O
tlametse	tl> a m E ts> E
kgonne	kx O n n E
diruiwa	d i r u i w a
moapei	m O a p> E i
itshokelana	i tsh O k> E l a n a
sedika	s E d i k> a
dirisetswa	d i r i s E ts> w a
iteile	i t> E i l E
buetse	b u E ts> E
gololesegileng	x O l O l E s E x i l E N
dilemong	d i l E m O N
bolelwe	b O l E l w E
dikgomo	d i kx O m O
sekisiwa	s E k> i s i w a
moretlwa	m O r E tl> w a
mogogorong	m O x O x O r O N
adime	a d i m E
tshekisong	tsh E k> i s O N
bogaleng	b O x a l E N
tsentshwang	ts> E n tsh w a N
methalethaleng	m E th a l E th a l E N
seloago	s E l O a x O
tlhoboganeng	tlh O b O x a n E N
katologano	k> a t> O l O x a n O
gaeno	x a E n O
metshameko	m E tsh a m E k> O
botshelong	b O tsh E l O N
ithaopo	i th a O p> O
nkarabile	n k> a r a b i l E
boloto	b O l O t> O
kgangwa	kx a N w a
kgwathisiwa	kx w a th i s i w a
feta	f E t> a
tuelo	t> u E l O
diatomo	d i a t> O m O
magolo	m a x O l O
phodiso	ph O d i s O
bukafoko	b u k> a f O k> O
tshitshinyang	tsh i tsh i J a N
neeletsano	n E E l E ts> a n O
matlhakoreng	m a tlh a k> O r E N
ikemiseditseng	i k> E m i s E d i ts> E N
ngwanake	N w a n a k> E
anela	a n E l a
kgotsofalelang	kx O ts> O f a l E l a N
lesomenne	l E s O m E n n E
utlwelele	u tl> w E l E l E
gararo	x a r a r O
kgatsha	kx a tsh a
feditseng	f E d i ts> E N
madirimathusi	m a d i r i m a th u s i
beela	b E E l a
tsotlhelele	ts> O tlh E l E l E
motlhatlhobing	m O tlh a tlh O b i N
šakgala	S a kx a l a
refosanang	r E f O s a n a N
mohumanegi	m O h u m a n E x i
mokgadi	m O kx a d i
khwaere	kh w a E r E
notleletswe	n O tl> E l E ts> w E
botshwarong	b O tsh w a r O N
mogolowe	m O x O l O w E
setla	s E tl> a
gaufinyana	x a u f i J a n a
kgolo	kx O l O
edileng	E d i l E N
fokotseng	f O k> O ts> E N
diponagalokgolo	d i p> O n a x a l O kx O l O
bosesane	b O s E s a n E
dikgara	d i kx a r a
hutse	h u ts> E
fetogile	f E t> O x i l E
tsamaisa	ts> a m a i s a
diheke	d i h E k> E
marataro	m a r a t> a r O
itimokanya	i t> i m O k> a J a
kopadilalelo	k> O p> a d i l a l E l O
gorose	x O r O s E
thekete	th E k> E t> E
tšhilisi	tSh i l i s i
ikaegile	i k> a E x i l E
tsamailwe	ts> a m a i l w E
iphitlhileng	i ph i tlh i l E N
modiko	m O d i k> O
farologanya	f a r O l O x a J a
pakela	p> a k> E l a
folola	f O l O l a
mmui	m m u i
tsamai	ts> a m a i
botsona	b O ts> O n a
barutwa	b a r u t> w a
dingwao	d i N w a O
fokotsegileng	f O k> O ts> E x i l E N
ramolangwana	r a m O l a N w a n a
phuruphutswa	ph u r u ph u ts> w a
moruanying	m O r u a J i N
founu	f O u n u
rwadisang	r w a d i s a N
diphasalatsong	d i ph a s a l a ts> O N
nolofatsang	n O l O f a ts> a N
tshologo	tsh O l O x O
tsewa	ts> E w a
tlhomamisitseng	tlh O m a m i s i ts> E N
gakanega	x a k> a n E x a
kgaotseng	kx a O ts> E N
buletsweng	b u l E ts> w E N
ganelela	x a n E l E l a
kgarameletsa	kx a r a m E l E ts> a
reeletswe	r E E l E ts> w E
letobo	l E t> O b O
inyatse	i J a ts> E
tšhwele	tSh w E l E
kgolegong	kx O l E x O N
fekeetswa	f E k> E E ts> w a
segarona	s E x a r O n a
motlatsa	m O tl> a ts> a
kgosinyana	kx O s i J a n a
tsweletswang	ts> w E l E ts> w a N
momagana	m O m a x a n a
makokong	m a k> O k> O N
itsoseng	i ts> O s E N
diphokotso	d i ph O k> O ts> O
ikobelwa	i k> O b E l w a
mererong	m E r E r O N
tebela	t> E b E l a
bina	b i n a
diforo	d i f O r O
memela	m E m E l a
ithekele	i th E k> E l E
nganga	N a N a
mosupiwa	m O s u p> i w a
sedikong	s E d i k> O N
galelwang	x a l E l w a N
bokgono	b O kx O n O
ithaopileng	i th a O p> i l E N
beeleditswe	b E E l E d i ts> w E
malebye	m a l E b j E
khampani	kh a m p> a n i
ditedu	d i t> E d u
ditaelo	d i t> a E l O
swetse	s w E ts> E
lebaganweng	l E b a x a n w E N
nkemeleng	n k> E m E l E N
amega	a m E x a
dumelelwe	d u m E l E l w E
dikungo	d i k> u N O
gololelang	x O l O l E l a N
ikaeletse	i k> a E l E ts> E
isiwe	i s i w E
merafe	m E r a f E
agelwa	a x E l w a
mpaananeng	m p> a n a n E N
rarabololwa	r a r a b O l O l w a
setswaki	s E ts> w a k> i
bobegi	b O b E x i
tshegeditswe	tsh E x E d i ts> w E
duedisiwang	d u E d i s i w a N
diterekereng	d i t> E r E k> E r E N
farologanang	f a r O l O x a n a N
kgotlhelegong	kx O tlh E l E x O N
sefofane	s E f O f a n E
motlhaleng	m O tlh a l E N
dikara	d i k> a r a
dirilweng	d i r i l w E N
tswelelopeleng	ts> w E l E l O p> E l E N
sobokanye	s O b O k> a J E
aparetse	a p> a r E ts> E
enjeneng	E n d0Z E n E N
bosimane	b O s i m a n E
mogwantong	m O x w a n t> O N
latedisa	l a t> E d i s a
tala	t> a l a
kakanyong	k> a k> a J O N
popelo	p> O p> E l O
namatshang	n a m a tsh a N
ntsheng	n tsh E N
motlhatlhami	m O tlh a tlh a m i
motlhami	m O tlh a m i
manathwana	m a n a th w a n a
sedimosetsa	s E d i m O s E ts> a
tliwa	tl> i w a
rapeletswe	r a p> E l E ts> w E
tlhomamisitswe	tlh O m a m i s i ts> w E
tlhogileng	tlh O x i l E N
dinonofo	d i n O n O f O
tlhaloganyesegang	tlh a l O x a J E s E x a N
tshutlhelelo	tsh u tlh E l E l O
diphenšene	d i ph E n S E n E
legare	l E x a r E
masoleng	m a s O l E N
dira	d i r a
kokoane	k> O k> O a n E
lebopo	l E b O p> O
tsibogelang	ts> i b O x E l a N
tsenelela	ts> E n E l E l a
mamaretsa	m a m a r E ts> a
dikoa	d i k> O a
kgethe	kx E th E
konkoreiti	k> O n k> O r E i t> i
dilekanyetso	d i l E k> a J E ts> O
rarabolotsweng	r a r a b O l O ts> w E N
najo	n a d0Z O
diporeng	d i p> O r E N
letsogong	l E ts> O x O N
mosenyi	m O s E J i
khutso	kh u ts> O
mebeleng	m E b E l E N
sekgaleng	s E kx a l E N
gatisa	x a t> i s a
rekisetswa	r E k> i s E ts> w a
tsholwe	tsh O l w E
dikabelo	d i k> a b E l O
ditlhabelo	d i tlh a b E l O
tshwatlela	tsh w a tl> E l a
kgosaneng	kx O s a n E N
phuagantswe	ph u a x a n ts> w E
logaganya	l O x a x a J a
meedinyana	m E E d i J a n a
diporojeke	d i p> O r O d0Z E k> E
dikgosaneng	d i kx O s a n E N
dikokoano	d i k> O k> O a n O
itshelele	i tsh E l E l E
boikwadisong	b O i k> w a d i s O N
mopagami	m O p> a x a m i
tshegetso	tsh E x E ts> O
tane	t> a n E
ituelela	i t> u E l E l a
ikaletse	i k> a l E ts> E
tshepile	tsh E p> i l E
beng	b E N
diripa	d i r i p> a
tlhakana	tlh a k> a n a
lebakalegolo	l E b a k> a l E x O l O
mogolegwa	m O x O l E x w a
fomong	f O m O N
galefile	x a l E f i l E
lelekweng	l E l E k> w E N
siane	s i a n E
patelesegang	p> a t> E l E s E x a N
oomabedi	O O m a b E d i
terekereng	t> E r E k> E r E N
sedi	s E d i
tlisang	tl> i s a N
atlholang	a tlh O l a N
mmino	m m i n O
mabe	m a b E
dibukaneng	d i b u k> a n E N
poo	p> O O
dikotlhao	d i k> O tlh a O
alogile	a l O x i l E
bedi	b E d i
kamogodibetsa	k> a m O x O d i b E ts> a
latlhegela	l a tlh E x E l a
tshokameng	tsh O k> a m E N
fetisiweng	f E t> i s i w E N
dithomelo	d i th O m E l O
bamolao	b a m O l a O
ditopo	d i t> O p> O
kgoreletsego	kx O r E l E ts> E x O
mogatsaaka	m O x a ts> a k> a
mesesane	m E s E s a n E
tukwi	t> u k> w i
motlogolo	m O tl> O x O l O
ithabisa	i th a b i s a
barutabaoki	b a r u t> a b a O k> i
bomme	b O m m E
bolokilweng	b O l O k> i l w E N
dirisediwa	d i r i s E d i w a
ikanametse	i k> a n a m E ts> E
mase	m a s E
ditshenekegi	d i tsh E n E k> E x i
metsweding	m E ts> w E d i N
buise	b u i s E
kgatlhwa	kx a tlh w a
seipato	s E i p> a t> O
phelele	ph E l E l E
poifo	p> O i f O
sutele	s u t> E l E
diporofaele	d i p> O r O f a E l E
balemi	b a l E m i
saenilwe	s a E n i l w E
kgaoletsa	kx a O l E ts> a
lelefatsa	l E l E f a ts> a
ntshelele	n tsh E l E l E
batlisa	b a tl> i s a
akanya	a k> a J a
tlatswa	tl> a ts> w a
nyenya	J E J a
sobokantsweng	s O b O k> a n ts> w E N
tokafatswa	t> O k> a f a ts> w a
peomolao	p> E O m O l a O
phunyeng	ph u J E N
nnyaa	n J a
tumo	t> u m O
seelong	s E E l O N
tsalanya	ts> a l a J a
tshasang	tsh a s a N
bolemiruing	b O l E m i r u i N
kitlang	k> i tl> a N
rebolang	r E b O l a N
itshegetsa	i tsh E x E ts> a
ditlamelwa	d i tl> a m E l w a
karolonyana	k> a r O l O J a n a
ikatisa	i k> a t> i s a
mosupi	m O s u p> i
ikatisang	i k> a t> i s a N
reile	r E i l E
filweng	f i l w E N
ipopang	i p> O p> a N
katogano	k> a t> O x a n O
tsepamela	ts> E p> a m E l a
diphologong	d i ph O l O x O N
sekamela	s E k> a m E l a
dimo	d i m O
nkarabe	n k> a r a b E
mongwe	m O N w E
moeng	m O E N
tshwetsong	tsh w E ts> O N
tshekamelo	tsh E k> a m E l O
sethuthusi	s E th u th u s i
tlhotlhololwa	tlh O tlh O l O l w a
katolose	k> a t> O l O s E
kopanong	k> O p> a n O N
dueletsweng	d u E l E ts> w E N
gokeletswe	x O k> E l E ts> w E
moalogi	m O a l O x i
akanyediwa	a k> a J E d i w a
lopiwang	l O p> i w a N
omeletse	O m E l E ts> E
digela	d i x E l a
tshilong	tsh i l O N
fapaaneng	f a p> a n E N
dikomelelo	d i k> O m E l E l O
basupiwa	b a s u p> i w a
thopileng	th O p> i l E N
pholesi	ph O l E s i
lelefadiwang	l E l E f a d i w a N
sepodising	s E p> O d i s i N
tlhaloganyesega	tlh a l O x a J E s E x a
lotleletswe	l O tl> E l E ts> w E
arologanya	a r O l O x a J a
itemogela	i t> E m O x E l a
lofe	l O f E
sela	s E l a
tshesane	tsh E s a n E
kolotwa	k> O l O t> w a
gobelela	x O b E l E l a
tlhatlagana	tlh a tl> a x a n a
eletswa	E l E ts> w a
khudu	kh u d u
ntshitswe	n tsh i ts> w E
tlhokomologe	tlh O k> O m O l O x E
tshepisitsweng	tsh E p> i s i ts> w E N
dinkwana	d i n k> w a n a
tlaleleditswe	tl> a l E l E d i ts> w E
difekese	d i f E k> E s E
feleletseng	f E l E l E ts> E N
mmoki	m m O k> i
jese	d0Z E s E
tlhaloganyang	tlh a l O x a J a N
tshobokano	tsh O b O k> a n O
tlhagola	tlh a x O l a
sephotlwa	s E ph O tl> w a
leseleng	l E s E l E N
hupela	h u p> E l a
mafolofolo	m a f O l O f O l O
tlhalosetsa	tlh a l O s E ts> a
ketane	k> E t> a n E
tshelele	tsh E l E l E
mmoledi	m m O l E d i
bopegile	b O p> E x i l E
tshegediwang	tsh E x E d i w a N
dikhutsana	d i kh u ts> a n a
seeledi	s E E l E d i
potokwe	p> O t> O k> w E
kgobokanyong	kx O b O k> a J O N
folosa	f O l O s a
botswelelo	b O ts> w E l E l O
dikhemikhale	d i kh E m i kh a l E
duele	d u E l E
mokwadisi	m O k> w a d i s i
gapelediwa	x a p> E l E d i w a
thefosanyong	th E f O s a J O N
tlhokwang	tlh O k> w a N
reboleng	r E b O l E N
tshamekile	tsh a m E k> i l E
mejako	m E d0Z a k> O
mabifi	m a b i f i
emelense	E m E l E n s E
lemogileng	l E m O x i l E N
mmetli	m m E tl> i
mogolole	m O x O l O l E
sotlhe	s O tlh E
komota	k> O m O t> a
khutshwafadiwang	kh u tsh w a f a d i w a N
tswetswee	ts> w E ts> w E E
mmuisiwa	m m u i s i w a
binabina	b i n a b i n a
isitseng	i s i ts> E N
digelang	d i x E l a N
pampiring	p> a m p> i r i N
megoma	m E x O m a
kapa	k> a p> a
baoki	b a O k> i
dirisaneng	d i r i s a n E N
nama	n a m a
buleleng	b u l E l E N
falotswe	f a l O ts> w E
moetleetsi	m O E tl> E E ts> i
gakologelwang	x a k> O l O x E l w a N
rolwe	r O l w E
rutane	r u t> a n E
duelelang	d u E l E l a N
baroki	b a r O k> i
lekanelang	l E k> a n E l a N
akgola	a kx O l a
minoloso	m i n O l O s O
tlhomamise	tlh O m a m i s E
dibenya	d i b E J a
nolofatsa	n O l O f a ts> a
foleng	f O l E N
nopolwa	n O p> O l w a
panyeletsa	p> a J E l E ts> a
pene	p> E n E
monokela	m O n O k> E l a
kganelang	kx a n E l a N
abelane	a b E l a n E
babegadikgang	b a b E x a d i kx a N
panyeleditsweng	p> a J E l E d i ts> w E N
bodileng	b O d i l E N
megodungwana	m E x O d u N w a n a
sometharo	s O m E th a r O
ikgopolela	i kx O p> O l E l a
tlhangwa	tlh a N w a
malatlhelwa	m a l a tlh E l w a
kotulwa	k> O t> u l w a
kanetsweng	k> a n E ts> w E N
mmasepaleng	m m a s E p> a l E N
thobong	th O b O N
dikgotleng	d i kx O tl> E N
katsophepiso	k> a ts> O ph E p> i s O
dintshing	d i n tsh i N
rebole	r E b O l E
tswelelwa	ts> w E l E l w a
mokolela	m O k> O l E l a
tsaletsweng	ts> a l E ts> w E N
bodiredi	b O d i r E d i
ditumammogo	d i t> u m a m m O x O
batlhokomedi	b a tlh O k> O m E d i
thumolano	th u m O l a n O
mametlelela	m a m E tl> E l E l a
rwalela	r w a l E l a
montsi	m O n ts> i
kokelong	k> O k> E l O N
pompang	p> O m p> a N
boiphediso	b O i ph E d i s O
bomoto	b O m O t> O
matsapeng	m a ts> a p> E N
tshegeletsa	tsh E x E l E ts> a
mpeile	m p> E i l E
dirisegang	d i r i s E x a N
kgelelo	kx E l E l O
tlhafuna	tlh a f u n a
ikoba	i k> O b a
megotlha	m E x O tlh a
morwadie	m O r w a d i E
sekasekiwang	s E k> a s E k> i w a N
titse	t> i ts> E
akantsweng	a k> a n ts> w E N
botho	b O th O
morotloetsi	m O r O tl> O E ts> i
baratani	b a r a t> a n i
pharwa	ph a r w a
ditshwantshong	d i tsh w a n tsh O N
sotlang	s O tl> a N
kgaoganyo	kx a O x a J O
tlalelediwang	tl> a l E l E d i w a N
lwela	l w E l a
leitlho	l E i tlh O
samagana	s a m a x a n a
lethakgwafo	l E th a kx w a f O
tshosa	tsh O s a
ngwagasome	N w a x a s O m E
anang	a n a N
baitshimololedi	b a i tsh i m O l O l E d i
menwaneng	m E n w a n E N
ditsodintsi	d i ts> O d i n ts> i
tseneng	ts> E n E N
mokgapheng	m O kx a ph E N
siametswe	s i a m E ts> w E
seporofešenale	s E p> O r O f E S E n a l E
difatlhi	d i f a tlh i
tshoromo	tsh O r O m O
atlholetswe	a tlh O l E ts> w E
gogolega	x O x O l E x a
pusong	p> u s O N
gololosegile	x O l O l O s E x i l E
tshupanako	tsh u p> a n a k> O
