can't	k> a n t>
godingwana	G O l` i N w a n a
godišago	G O l` i S a G O
godiša	G O l` i S a
godišang	G O l` i S a N
godiše	G O l` i S E
godišetša	G O l` i S E tS> a
godišitšego	G O l` i S i tS> E G O
godišitše	G O l` i S i tS> E
godišitšwego	G O l` i S i tS> w E G O
godišitšwe	G O l` i S i tS> w E
godišwago	G O l` i S w a G O
godišwa	G O l` i S w a
godišwe	G O l` i S w E
goditšego	G O l` i tS> E G O
goditše	G O l` i tS> E
goela	G O E l a
goeleditše	G O E l E l` i tS> E
goelela	G O E l E l a
goeletša	G O E l E tS> a
goeletše	G O E l E tS> E
goeletšwa	G O E l E tS> w a
goeletšwago	G O E l E tS> w a G O
gofe	G O f E
gofela	G O f E l a
goga	G O G a
gogago	G O G a G O
gogegago	G O G E G a G O
goge	G O G E
gogela	G O G E l a
gogelago	G O G E l a G O
gogele	G O G E l E
gogelwa	G O G E l w a
gogelwago	G O G E l w a G O
gogelwe	G O G E l w E
gogile	G O G i l E
gogilego	G O G i l E G O
gogilwe	G O G i l w E
gogilwego	G O G i l w E G O
gogiša	G O G i S a
gogoiša	G O G O i S a
gogola	G O G O l a
gogwago	G O G w a G O
gogwa	G O G w a
gogwe	G O G w E
gohla	G O K a
gohlega	G O K E G a
gohlegohle	G O K E G O K E
gohle	G O K E
gohlilwego	G O K i l w E G O
gohlolago	G O K O l a G O
gohlola	G O K O l a
gohlomela	G O K O m E l a
gohlometše	G O K O m E tS> E
gokaganya	G O k> a G a J a
gokago	G O k> a G O
gokagoketša	G O k> a G O k> E tS> a
gokara	G O k> a r a
gokarana	G O k> a r a n a
gokarane	G O k> a r a n E
gokarela	G O k> a r E l a
gokere	G O k> E r E
goketšago	G O k> E tS> a G O
goketša	G O k> E tS> a
gokile	G O k> i l E
gokwa	G O k> w a
golago	G O l a G O
gola	G O l a
golagola	G O l a G O l a
golega	G O l E G a
golege	G O l E G E
golegilego	G O l E G i l E G O
golegile	G O l E G i l E
golegilwego	G O l E G i l w E G O
golegilwe	G O l E G i l w E
golego	G O l E G O
gole	G O l E
golegwago	G O l E G w a G O
golegwa	G O l E G w a
golegwe	G O l E G w E
golelago	G O l E l a G O
golela	G O l E l a
golele	G O l E l E
golelwa	G O l E l w a
goleng	G O l E N
goletšego	G O l E tS> E G O
goletše	G O l E tS> E
goletšwe	G O l E tS> w E
golofala	G O l O f a l a
golofatša	G O l O f a tS> a
golofetšego	G O l O f E tS> E G O
golofetše	G O l O f E tS> E
golo	G O l O
golola	G O l O l a
goma	G O m a
gomareditšwego	G O m a r E l` i tS> w E G O
gomareditšwe	G O m a r E l` i tS> w E
gomarela	G O m a r E l a
gomaretša	G O m a r E tS> a
gomaretše	G O m a r E tS> E
gome	G O m E
gomela	G O m E l a
gomele	G O m E l E
gomilego	G O m i l E G O
gomile	G O m i l E
gomiša	G O m i S a
gomiše	G O m i S E
gomišitše	G O m i S i tS> E
gomišwa	G O m i S w a
gomme	G O m m E
gonabjale	G O n a BZ a l E
gona	G O n a
gonagona	G O n a G O n a
gongwe	G O N w E
gonnyane	G O n J a n E
gonona	G O n O n a
gononelago	G O n O n E l a G O
gononela	G O n O n E l a
gononelwago	G O n O n E l w a G O
gononelwa	G O n O n E l w a
gononwago	G O n O n w a G O
gononwa	G O n O n w a
gonyane	G O J a n E
gopela	G O p> E l a
gopodišiša	G O p> O l` i S i S a
gopodišišwa	G O p> O l` i S i S w a
gopolago	G O p> O l a G O
gopola	G O p> O l a
gopolang	G O p> O l a N
gopolega	G O p> O l E G a
gopole	G O p> O l E
gopolela	G O p> O l E l a
gopolele	G O p> O l E l E
gopoleng	G O p> O l E N
gopolwago	G O p> O l w a G O
gopolwa	G O p> O l w a
gopolwe	G O p> O l w E
gopotšago	G O p> O tS> a G O
gopotša	G O p> O tS> a
gopotšego	G O p> O tS> E G O
gopotše	G O p> O tS> E
gopotšwa	G O p> O tS> w a
gora	G O r a
goragora	G O r a G O r a
goroga	G O r O G a
gorogela	G O r O G E l a
gorogilego	G O r O G i l E G O
gorogile	G O r O G i l E
goroša	G O r O S a
goroše	G O r O S E
gorošwa	G O r O S w a
gorulla	G O r u l l a
gosasa	G O s a s a
gotee	G O t> E E
gotetša	G O t> E tS> a
gotla	G O tl> a
gotša	G O tS> a
gotšego	G O tS> E G O
gotše	G O tS> E
gotšwa	G O tS> w a
gwaba	G w a B a
gwa	G w a
gwahlafaditše	G w a K a f a l` i tS> E
gwahlafala	G w a K a f a l a
gwahlafatša	G w a K a f a tS> a
gwahlafetše	G w a K a f E tS> E
gwaiša	G w a i S a
gwala	G w a l a
gwaletša	G w a l E tS> a
gwametše	G w a m E tS> E
gwanta	G w a n t> a
gwataka	G w a t> a k> a
gwebago	G w E B a G O
gweba	G w E B a
gwebiša	G w E B i S a
gwebišanago	G w E B i S a n a G O
gwebišana	G w E B i S a n a
gwe	G w E
gwerana	G w E r a n a
gweranego	G w E r a n E G O
habore	h a B O r E
haedroliki	h a E l` r O l i k> i
haetrotšene	h a E t> r O tS> E n E
hamola	h a m O l a
hee	h E E
hektare	h E k> t> a r E
hemago	h E m a G O
hema	h E m a
hemela	h E m E l a
hemelwa	h E m E l w a
hempe	h E m p> E
hirago	h i r a G O
hira	h i r a
hirilego	h i r i l E G O
hirile	h i r i l E
hirilwe	h i r i l w E
hiriša	h i r i S a
hirišwa	h i r i S w a
hirwa	h i r w a
histori	h i s t> O r i
historing	h i s t> O r i N
hlabago	K a B a G O
hlaba	K a B a
hlabana	K a B a n a
hlabane	K a B a n E
hlabanetše	K a B a n E tS> E
hlabang	K a B a N
hlabega	K a B E G a
hlabegile	K a B E G i l E
hlabe	K a B E
hlabela	K a B E l a
hlabelwa	K a B E l w a
hlabelwe	K a B E l w E
hlabetše	K a B E tS> E
hlabetšwego	K a B E tS> w E G O
hlabetšwe	K a B E tS> w E
hlabilego	K a B i l E G O
hlabile	K a B i l E
hlabilwego	K a B i l w E G O
hlabilwe	K a B i l w E
hlabiwa	K a B i w a
hlabja	K a BZ a
hlabolago	K a B O l a G O
hlabollago	K a B O l l a G O
hlabolla	K a B O l l a
hlabolle	K a B O l l E
hlabolleng	K a B O l l E N
hlabollwago	K a B O l l w a G O
hlabollwa	K a B O l l w a
hlabollwe	K a B O l l w E
hlabologago	K a B O l O G a G O
hlabologa	K a B O l O G a
hlabologe	K a B O l O G E
hlabologilego	K a B O l O G i l E G O
hlabolotše	K a B O l O tS> E
hlabolotšwego	K a B O l O tS> w E G O
hlabolotšwe	K a B O l O tS> w E
hlaboša	K a B O S a
hladile	K a l` i l E
hlaelago	K a E l a G O
hlaela	K a E l a
hlaele	K a E l E
hlaelelago	K a E l E l a G O
hlaelela	K a E l E l a
hlaelelwa	K a E l E l w a
hlaelwa	K a E l w a
hlaetšwa	K a E tS> w a
hlafile	K a f i l E
hlagaditše	K a G a l` i tS> E
hlagago	K a G a G O
hlagahlagane	K a G a K a G a n E
hlaga	K a G a
hlagala	K a G a l a
hlagaletšwe	K a G a l E tS> w E
hlaganela	K a G a n E l a
hlagang	K a G a N
hlagatša	K a G a tS> a
hlage	K a G E
hlagelago	K a G E l a G O
hlagela	K a G E l a
hlagelwa	K a G E l w a
hlagetšego	K a G E tS> E G O
hlagetše	K a G E tS> E
hlagetšwe	K a G E tS> w E
hlagilego	K a G i l E G O
hlagile	K a G i l E
hlagišago	K a G i S a G O
hlagiša	K a G i S a
hlagiše	K a G i S E
hlagišetša	K a G i S E tS> a
hlagišitšego	K a G i S i tS> E G O
hlagišitše	K a G i S i tS> E
hlagišitšwego	K a G i S i tS> w E G O
hlagišitšwe	K a G i S i tS> w E
hlagišwago	K a G i S w a G O
hlagišwa	K a G i S w a
hlagišwe	K a G i S w E
hlago	K a G O
hlagola	K a G O l a
hlagole	K a G O l E
hlagolelwa	K a G O l E l w a
hlagoletše	K a G O l E tS> E
hlagolwa	K a G O l w a
hlagotšwe	K a G O tS> w E
hlahlago	K a K a G O
hlahla	K a K a
hlahlamolla	K a K a m O l l a
hlahlamologa	K a K a m O l O G a
hlahlamuši	K a K a m u S i
hlahlarega	K a K a r E G a
hlahlatha	K a K a th a
hlahlathe	K a K a th E
hlahle	K a K E
hlahlela	K a K E l a
hlahlelela	K a K E l E l a
hlahlelwago	K a K E l w a G O
hlahlelwa	K a K E l w a
hlahleng	K a K E N
hlahletšwego	K a K E tS> w E G O
hlahletšwe	K a K E tS> w E
hlahlile	K a K i l E
hlahlilwego	K a K i l w E G O
hlahlilwe	K a K i l w E
hlahliwa	K a K i w a
hlahlobago	K a K O B a G O
hlahloba	K a K O B a
hlahlobe	K a K O B E
hlahlobela	K a K O B E l a
hlahlobilego	K a K O B i l E G O
hlahlobile	K a K O B i l E
hlahlobilwego	K a K O B i l w E G O
hlahlobilwe	K a K O B i l w E
hlahlobjago	K a K O BZ a G O
hlahlobja	K a K O BZ a
hlahlobje	K a K O BZ E
hlahlwago	K a K w a G O
hlahlwa	K a K w a
hlahlwe	K a K w E
hlakago	K a k> a G O
hlakahlakana	K a k> a K a k> a n a
hlakahlakanego	K a k> a K a k> a n E G O
hlakahlakane	K a k> a K a k> a n E
hlakahlakantšha	K a k> a K a k> a n tSh a
hlakahlakantšwego	K a k> a K a k> a n tS> w E G O
hlakahlakanya	K a k> a K a k> a J a
hlakahlakanywa	K a k> a K a k> a J w a
hlaka	K a k> a
hlakanago	K a k> a n a G O
hlakana	K a k> a n a
hlakanego	K a k> a n E G O
hlakane	K a k> a n E
hlakanela	K a k> a n E l a
hlakanele	K a k> a n E l E
hlakanelwa	K a k> a n E l w a
hlakanetšego	K a k> a n E tS> E G O
hlakanetše	K a k> a n E tS> E
hlakanetšwa	K a k> a n E tS> w a
hlakanetšwego	K a k> a n E tS> w E G O
hlakantše	K a k> a n tS> E
hlakantšha	K a k> a n tSh a
hlakantšhe	K a k> a n tSh E
hlakantšhitšwe	K a k> a n tSh i tS> w E
hlakantšhwa	K a k> a n tSh w a
hlakantšwe	K a k> a n tS> w E
hlakanya	K a k> a J a
hlakanye	K a k> a J E
hlakanywago	K a k> a J w a G O
hlakanywa	K a k> a J w a
hlakego	K a k> E G O
hlake	K a k> E
hlakelela	K a k> E l E l a
hlakeng	K a k> E N
hlakilego	K a k> i l E G O
hlakile	K a k> i l E
hlakišago	K a k> i S a G O
hlakiša	K a k> i S a
hlakiše	K a k> i S E
hlakišwa	K a k> i S w a
hlakišwe	K a k> i S w E
hlakodiša	K a k> O l` i S a
hlakola	K a k> O l a
hlakoleng	K a k> O l E N
hlakolwa	K a k> O l w a
hlakotše	K a k> O tS> E
hlakotšwego	K a k> O tS> w E G O
hlakotšwe	K a k> O tS> w E
hlakwa	K a k> w a
hlala	K a l a
hlalala	K a l a l a
hlalana	K a l a n a
hlalane	K a l a n E
hlalefa	K a l E f a
hlalefe	K a l E f E
hlalefela	K a l E f E l a
hlalefetšago	K a l E f E tS> a G O
hlalefetša	K a l E f E tS> a
hlalefetše	K a l E f E tS> E
hlalefilego	K a l E f i l E G O
hlalefile	K a l E f i l E
hlalefiša	K a l E f i S a
hlaloganya	K a l O G a J a
hlalošago	K a l O S a G O
hlalosa	K a l O s a
hlaloša	K a l O S a
hlalošang	K a l O S a N
hlalošeditše	K a l O S E l` i tS> E
hlalošegego	K a l O S E G E G O
hlalošege	K a l O S E G E
hlaloše	K a l O S E
hlalošetšago	K a l O S E tS> a G O
hlalosetša	K a l O s E tS> a
hlalošetša	K a l O S E tS> a
hlalošetšego	K a l O S E tS> E G O
hlalošetše	K a l O S E tS> E
hlalošetšwa	K a l O S E tS> w a
hlalošiša	K a l O S i S a
hlalošišitšwego	K a l O S i S i tS> w E G O
hlalošitšego	K a l O S i tS> E G O
hlalošitše	K a l O S i tS> E
hlalošitšwego	K a l O S i tS> w E G O
hlalošitšwe	K a l O S i tS> w E
hlalošwago	K a l O S w a G O
hlalošwa	K a l O S w a
hlalošwe	K a l O S w E
hlamago	K a m a G O
hlama	K a m a
hlamang	K a m a N
hlamega	K a m E G a
hlamegilego	K a m E G i l E G O
hlamegile	K a m E G i l E
hlame	K a m E
hlamelwa	K a m E l w a
hlameng	K a m E N
hlametše	K a m E tS> E
hlametšwego	K a m E tS> w E G O
hlametšwe	K a m E tS> w E
hlamilego	K a m i l E G O
hlamile	K a m i l E
hlamilwego	K a m i l w E G O
hlamilwe	K a m i l w E
hlamiwa	K a m i w a
hlamula	K a m u l a
hlanama	K a n a m a
hlanamela	K a n a m E l a
hlangwago	K a N w a G O
hlangwa	K a N w a
hlangwe	K a N w E
hlangweng	K a N w E N
hlankelago	K a n k> E l a G O
hlankela	K a n k> E l a
hlankelwa	K a n k> E l w a
hlanoga	K a n O G a
hlanogela	K a n O G E l a
hlanogetše	K a n O G E tS> E
hlano	K a n O
hlaolago	K a O l a G O
hlaola	K a O l a
hlaole	K a O l E
hlaoletšwego	K a O l E tS> w E G O
hlaologanya	K a O l O G a J a
hlaolwago	K a O l w a G O
hlaolwa	K a O l w a
hlaolwe	K a O l w E
hlaotšego	K a O tS> E G O
hlaotše	K a O tS> E
hlaotšwego	K a O tS> w E G O
hlaotšwe	K a O tS> w E
hlapa	K a p> a
hlapaola	K a p> a O l a
hlapeditše	K a p> E l` i tS> E
hlapeditšwego	K a p> E l` i tS> w E G O
hlapeditšwe	K a p> E l` i tS> w E
hlape	K a p> E
hlapela	K a p> E l a
hlapetša	K a p> E tS> a
hlapetše	K a p> E tS> E
hlapetšwa	K a p> E tS> w a
hlapetšwe	K a p> E tS> w E
hlaphola	K a ph O l a
hlapi	K a p> i
hlapikgolo	K a p> i kx O l O
hlapilego	K a p> i l E G O
hlapile	K a p> i l E
hlapiša	K a p> i S a
hlapiše	K a p> i S E
hlapologa	K a p> O l O G a
hlaramolla	K a r a m O l l a
hlaselago	K a s E l a G O
hlasela	K a s E l a
hlasele	K a s E l E
hlaselwago	K a s E l w a G O
hlaselwa	K a s E l w a
hlaselwe	K a s E l w E
hlasetšego	K a s E tS> E G O
hlasetše	K a s E tS> E
hlasetšwego	K a s E tS> w E G O
hlasetšwe	K a s E tS> w E
hlaswa	K a s w a
hlathago	K a th a G O
hlatha	K a th a
hlathile	K a th i l E
hlathollago	K a th O l l a G O
hlatholla	K a th O l l a
hlathollega	K a th O l l E G a
hlatholle	K a th O l l E
hlathollela	K a th O l l E l a
hlathollwa	K a th O l l w a
hlathollwe	K a th O l l w E
hlatlagana	K a tl> a G a n a
hlatlaganego	K a tl> a G a n E G O
hlatlaganywa	K a tl> a G a J w a
hlatlamago	K a tl> a m a G O
hlatlega	K a tl> E G a
hlatlegelang	K a tl> E G E l a N
hlatlegile	K a tl> E G i l E
hlatlogago	K a tl> O G a G O
hlatloga	K a tl> O G a
hlatlogela	K a tl> O G E l a
hlatlogilego	K a tl> O G i l E G O
hlatlogile	K a tl> O G i l E
hlatlošago	K a tl> O S a G O
hlatloša	K a tl> O S a
hlatlošeditšwe	K a tl> O S E l` i tS> w E
hlatloše	K a tl> O S E
hlatlošetša	K a tl> O S E tS> a
hlatlošetšwa	K a tl> O S E tS> w a
hlatlošitšego	K a tl> O S i tS> E G O
hlatlošitše	K a tl> O S i tS> E
hlatlošitšwego	K a tl> O S i tS> w E G O
hlatlošitšwe	K a tl> O S i tS> w E
hlatlošwago	K a tl> O S w a G O
hlatlošwa	K a tl> O S w a
hlatsago	K a ts> a G O
hlatša	K a tS> a
hlatse	K a ts> E
hlatselago	K a ts> E l a G O
hlatsela	K a ts> E l a
hlatsele	K a ts> E l E
hlatselwa	K a ts> E l w a
hlatselwe	K a ts> E l w E
hlatšetša	K a tS> E tS> a
hlatsetšego	K a ts> E tS> E G O
hlatsetše	K a ts> E tS> E
hlatsetšwego	K a ts> E tS> w E G O
hlatswa	K a ts> w a
hlatswana	K a ts> w a n a
hlatswega	K a ts> w E G a
hlatswe	K a ts> w E
hlatswetša	K a ts> w E tS> a
hlatswitšego	K a ts> w i tS> E G O
hlatswitšwego	K a ts> w i tS> w E G O
hlatswitšwe	K a ts> w i tS> w E
hlehla	K E K a
hle	K E
hlobaetšago	K O B a E tS> a G O
hlobaetša	K O B a E tS> a
hlobaetšwa	K O B a E tS> w a
hloba	K O B a
hloboga	K O B O G a
hlobogile	K O B O G i l E
hlobola	K O B O l a
hlobolela	K O B O l E l a
hlodia	K O l` i a
hlodi	K O l` i
hlodilego	K O l` i l E G O
hlodile	K O l` i l E
hlodilwego	K O l` i l w E G O
hlodumela	K O l` u m E l a
hlogago	K O G a G O
hloga	K O G a
hlogilego	K O G i l E G O
hlogo	K O G O
hlogong	K O G O N
hlogwana	K O G w a n a
hlogwaneng	K O G w a n E N
hlohlago	K O K a G O
hlohla	K O K a
hlohle	K O K E
hlohleleditšego	K O K E l E l` i tS> E G O
hlohleleditše	K O K E l E l` i tS> E
hlohleleditšwego	K O K E l E l` i tS> w E G O
hlohleleditšwe	K O K E l E l` i tS> w E
hlohleletšago	K O K E l E tS> a G O
hlohleletša	K O K E l E tS> a
hlohleletšang	K O K E l E tS> a N
hlohleletšego	K O K E l E tS> E G O
hlohleletše	K O K E l E tS> E
hlohleletšwago	K O K E l E tS> w a G O
hlohleletšwa	K O K E l E tS> w a
hlohleletšwego	K O K E l E tS> w E G O
hlohleletšwe	K O K E l E tS> w E
hlohletša	K O K E tS> a
hlohloletša	K O K O l E tS> a
hlohlomiša	K O K O m i S a
hlohlonago	K O K O n a G O
hlohlona	K O K O n a
hlohlontšha	K O K O n tSh a
hlohlora	K O K O r a
hlohloregago	K O K O r E G a G O
hlohlwa	K O K w a
hloilego	K O i l E G O
hloile	K O i l E
hlokafalago	K O k> a f a l a G O
hlokafala	K O k> a f a l a
hlokafetše	K O k> a f E tS> E
hlokagalago	K O k> a G a l a G O
hlokagala	K O k> a G a l a
hlokagalego	K O k> a G a l E G O
hlokagetšego	K O k> a G E tS> E G O
hlokagetše	K O k> a G E tS> E
hlokago	K O k> a G O
hloka	K O k> a
hlokang	K O k> a N
hlokegago	K O k> E G a G O
hlokega	K O k> E G a
hlokegang	K O k> E G a N
hlokegego	K O k> E G E G O
hlokege	K O k> E G E
hlokego	K O k> E G O
hloke	K O k> E
hlokela	K O k> E l a
hlokeng	K O k> E N
hlokilego	K O k> i l E G O
hlokile	K O k> i l E
hlokiša	K O k> i S a
hlokišitšwego	K O k> i S i tS> w E G O
hlokišitšwe	K O k> i S i tS> w E
hlokišwa	K O k> i S w a
hlokofaditšego	K O k> O f a l` i tS> E G O
hlokofaditše	K O k> O f a l` i tS> E
hlokofaditšwego	K O k> O f a l` i tS> w E G O
hlokofaditšwe	K O k> O f a l` i tS> w E
hlokofalago	K O k> O f a l a G O
hlokofala	K O k> O f a l a
hlokofale	K O k> O f a l E
hlokofalela	K O k> O f a l E l a
hlokofalelwa	K O k> O f a l E l w a
hlokofaletšego	K O k> O f a l E tS> E G O
hlokofaletšwego	K O k> O f a l E tS> w E G O
hlokofaletšwe	K O k> O f a l E tS> w E
hlokofatša	K O k> O f a tS> a
hlokofatše	K O k> O f a tS> E
hlokofatšwago	K O k> O f a tS> w a G O
hlokofatšwa	K O k> O f a tS> w a
hlokofatšwe	K O k> O f a tS> w E
hlokofetšego	K O k> O f E tS> E G O
hlokofetše	K O k> O f E tS> E
hloko	K O k> O
hlokola	K O k> O l a
hlokolwa	K O k> O l w a
hlokomedišiša	K O k> O m E l` i S i S a
hlokomelago	K O k> O m E l a G O
hlokomela	K O k> O m E l a
hlokomelana	K O k> O m E l a n a
hlokomelang	K O k> O m E l a N
hlokomelego	K O k> O m E l E G O
hlokomele	K O k> O m E l E
hlokomelele	K O k> O m E l E l E
hlokomeleng	K O k> O m E l E N
hlokomelo	K O k> O m E l O
hlokomelwago	K O k> O m E l w a G O
hlokomelwa	K O k> O m E l w a
hlokomelwego	K O k> O m E l w E G O
hlokomelwe	K O k> O m E l w E
hlokometšego	K O k> O m E tS> E G O
hlokometše	K O k> O m E tS> E
hlokometšwego	K O k> O m E tS> w E G O
hlokometšwe	K O k> O m E tS> w E
hlokomologago	K O k> O m O l O G a G O
hlokomologa	K O k> O m O l O G a
hlokomologe	K O k> O m O l O G E
hlokomologile	K O k> O m O l O G i l E
hlokomologilwego	K O k> O m O l O G i l w E G O
hlokomologwa	K O k> O m O l O G w a
hlokomologwe	K O k> O m O l O G w E
hlokomološa	K O k> O m O l O S a
hlokwago	K O k> w a G O
hlokwa	K O k> w a
hlolago	K O l a G O
hlola	K O l a
hlolegago	K O l E G a G O
hlolega	K O l E G a
hlolege	K O l E G E
hlolegilego	K O l E G i l E G O
hlolegile	K O l E G i l E
hlolego	K O l E G O
hlole	K O l E
hlolelago	K O l E l a G O
hlolela	K O l E l a
hlolele	K O l E l E
hlolelwa	K O l E l w a
hloletšego	K O l E tS> E G O
hloletše	K O l E tS> E
hloletšwe	K O l E tS> w E
hlologelago	K O l O G E l a G O
hlologela	K O l O G E l a
hlologetše	K O l O G E tS> E
hlologetšwe	K O l O G E tS> w E
hlolo	K O l O
hlolosela	K O l O s E l a
hlolwago	K O l w a G O
hlolwa	K O l w a
hlolwe	K O l w E
hlolweng	K O l w E N
hlomago	K O m a G O
hloma	K O m a
hlomamego	K O m a m E G O
hlome	K O m E
hlomela	K O m E l a
hlomele	K O m E l E
hlomeletšwago	K O m E l E tS> w a G O
hlomeletšwego	K O m E l E tS> w E G O
hlomeletšwe	K O m E l E tS> w E
hlomelwa	K O m E l w a
hlomeng	K O m E N
hlomeseditšwego	K O m E s E l` i tS> w E G O
hlomesetša	K O m E s E tS> a
hlomesetšwa	K O m E s E tS> w a
hlometše	K O m E tS> E
hlometšwego	K O m E tS> w E G O
hlometšwe	K O m E tS> w E
hlomilego	K O m i l E G O
hlomile	K O m i l E
hlomilwego	K O m i l w E G O
hlomilwe	K O m i l w E
hlomiwa	K O m i w a
hlomoga	K O m O G a
hlomogela	K O m O G E l a
hlomola	K O m O l a
hlomolana	K O m O l a n a
hlomolwa	K O m O l w a
hlomphago	K O m ph a G O
hlompha	K O m ph a
hlomphana	K O m ph a n a
hlomphane	K O m ph a n E
hlomphang	K O m ph a N
hlomphegago	K O m ph E G a G O
hlomphega	K O m ph E G a
hlomphego	K O m ph E G O
hlomphe	K O m ph E
hlomphile	K O m ph i l E
hlomphilwego	K O m ph i l w E G O
hlomphilwe	K O m ph i l w E
hlomphiwago	K O m ph i w a G O
hlomphiwa	K O m ph i w a
hlomphiwe	K O m ph i w E
hlompho	K O m ph O
hlompšha	K O m pSh a
hlonama	K O n a m a
hloname	K O n a m E
hlonamilego	K O n a m i l E G O
hlong	K O N
hlongwago	K O N w a G O
hlongwa	K O N w a
hlongwe	K O N w E
hlongweng	K O N w E N
hlophago	K O ph a G O
hlopha	K O ph a
hlophela	K O ph E l a
hlophelwa	K O ph E l w a
hlophile	K O ph i l E
hlophilwego	K O ph i l w E G O
hlophilwe	K O ph i l w E
hlophiwago	K O ph i w a G O
hlophiwa	K O ph i w a
hlopšhago	K O pSh a G O
hlorišago	K O r i S a G O
hloriša	K O r i S a
hloriše	K O r i S E
hlorišwago	K O r i S w a G O
hlorišwa	K O r i S w a
hlotla	K O tl> a
hlotletša	K O tl> E tS> a
hlotlilwego	K O tl> i l w E G O
hlotliwa	K O tl> i w a
hlotlwago	K O tl> w a G O
hlotlwa	K O tl> w a
hlotša	K O tS> a
hlotšego	K O tS> E G O
hlotše	K O tS> E
hlotšwego	K O tS> w E G O
hlotšwe	K O tS> w E
hloya	K O j a
hlwago	K w a G O
hlwaile	K w a i l E
hlwa	K w a
hlware	K w a r E
hlwaya	K w a j a
hlwego	K w E G O
hlweka	K w E k> a
hlweke	K w E k> E
hlwekilego	K w E k> i l E G O
hlwekile	K w E k> i l E
hlwekišago	K w E k> i S a G O
hlwekiša	K w E k> i S a
hlwekiše	K w E k> i S E
hlwekišetša	K w E k> i S E tS> a
hlwekišitšego	K w E k> i S i tS> E G O
hlwekišitše	K w E k> i S i tS> E
hlwekišitšwego	K w E k> i S i tS> w E G O
hlwekišitšwe	K w E k> i S i tS> w E
hlwekišwa	K w E k> i S w a
hlwekišwe	K w E k> i S w E
hlwe	K w E
hlwela	K w E l a
hlwelego	K w E l E G O
hlwele	K w E l E
hlweng	K w E N
holago	h O l a G O
hola	h O l a
holegago	h O l E G a G O
holega	h O l E G a
holegego	h O l E G E G O
holege	h O l E G E
holegilego	h O l E G i l E G O
holegile	h O l E G i l E
holofelago	h O l O f E l a G O
holofela	h O l O f E l a
holofele	h O l O f E l E
holofelwago	h O l O f E l w a G O
holofelwa	h O l O f E l w a
holofetšago	h O l O f E tS> a G O
holofetša	h O l O f E tS> a
holofetše	h O l O f E tS> E
holofetšwego	h O l O f E tS> w E G O
holofetšwe	h O l O f E tS> w E
holofetšweng	h O l O f E tS> w E N
holo	h O l O
holong	h O l O N
holosele	h O l O s E l E
holwa	h O l w a
homola	h O m O l a
homolang	h O m O l a N
homole	h O m O l E
homolela	h O m O l E l a
homolele	h O m O l E l E
homotša	h O m O tS> a
homotšega	h O m O tS> E G a
homotšego	h O m O tS> E G O
homotše	h O m O tS> E
homotšwe	h O m O tS> w E
hono	h O n O
honorifiki	h O n O r i f i k> i
hostele	h O s t> E l E
hosteleng	h O s t> E l E N
hotele	h O t> E l E
hoteleng	h O t> E l E N
hotše	h O tS> E
hubaka	h u B a k> a
hubala	h u B a l a
hubedu	h u B E l` u
hudua	h u l` u a
huduga	h u l` u G a
huduge	h u l` u G E
hudugela	h u l` u G E l a
hudugetšego	h u l` u G E tS> E G O
hudugetše	h u l` u G E tS> E
hudugilego	h u l` u G i l E G O
hudugile	h u l` u G i l E
huduša	h u l` u S a
hudušetšwa	h u l` u S E tS> w a
hudušwa	h u l` u S w a
hueditšego	h u E l` i tS> E G O
