'n	@
briefskrywers	b r i f s k r @i v @ r s
briefwisseling	b r i f v @ s @ l @ N
briek	b r i k
briesend	b r i s @ n t
briesie	b r i s i
briewe	b r i v @
brieweblad	b r i v @ b l a t
briewebus	b r i v @ b 9 s
briewekolom	b r i v @ k u l O m
bril	b r @ l
briljant	b r @ l j a n t
briljante	b r @ l j a n t @
briljantheid	b r @ l j a n t h\ @i t
brille	b r @ l @
brilletjie	b r @ l i k i
bring	b r @ N
brink	b r @ N k
brits	b r @ t s
britse	b r @ t s @
broccoli	b r O k u l i
broeder	b r u d @ r
broederlike	b r u d @ r l @ k @
broeders	b r u d @ r s
broederskap	b r u d @ r s k a p
broederstroom	b r u d @ r s t r u@ m
broei	b r ui
broeiende	b r ui @ n d @
broeis	b r ui s
broek	b r u k
broeke	b r u k @
broekie	b r u k i
broeksakke	b r u k s a k @
broekskeur	b r u k s k 2: r
broer	b r u r
broers	b r u r s
broerskind	b r u r s k @ n t
broertjie	b r u r k i
brokkies	b r O k i s
brommers	b r O m @ r s
bron	b r O n
brondokument	b r O n d O k y m E n t
brondokumente	b r O n d O k y m E n t @
brongebaseerde	b r O n x @ b a s i@ r d @
brongiale	b r O N x i A: l @
brongitis	b r O N x i t @ s
bronkode	b r O n k u@ d @
bronne	b r O n @
bronneboek	b r O n @ b u k
bronnelys	b r O n @ l @i s
brons	b r O n s
bronsmedalje	b r O n s m @ d a l j @
bronteks	b r O n t E k s
bronverwysing	b r O n f @ r v @i s @ N
bronverwysingstyl	b r O n f @ r v @i s @ N s t @i l
brood	b r u@ t
broodbome	b r u@ t b u@ m @
broodjie	b r O:i k i
broodjies	b r O:i k i s
broodkrummels	b r u@ t k r 9 m @ l s
broodmes	b r u@ t m E s
broodnodig	b r u@ t n u@ d @ x
broodnodige	b r u@ t n u@ d @ x @
broodwinner	b r u@ t v @ n @ r
bros	b r O s
brose	b r u@ s @
brosjure	b r O s j y r @
brouery	b r @u @ r @i
brouerye	b r @u @ r @i @
brug	b r 9 x
bruid	b r 9y t
bruide	b r 9y d @
bruidegom	b r 9y d @ x O m
bruidspaar	b r 9y t s p A: r
bruikbaarheid	b r 9y k b A: r h\ @i t
bruikbare	b r 9y k b A: r @
bruikhuur	b r 9y k h\ y r
bruilof	b r 9y l O f
bruin	b r 9y n
bruinbrood	b r 9y n b r u@ t
bruines	b r 9y n @ s
bruingebrande	b r 9y n x @ b r a n d @
bruingeel	b r 9y n x i@ l
bruinman	b r 9y n m a n
bruis	b r 9y s
bruisende	b r 9y s @ n d @
bruismeel	b r 9y s m i@ l
brul	b r 9 l
brullende	b r 9 l @ n d @
brute	b r y t @
bruto	b r y t u
brûe	b r 9 @
buffel	b 9 f @ l
buffels	b 9 f @ l s
buffelsrivier	b 9 f @ l s r @ f i r
buffer	b 9 f @ r
buffers	b 9 f @ r s
buffet	b u f @i
bui	b 9y
buie	b 9y @
buig	b 9y x
buiging	b 9y x @ N
buigsaam	b 9y x s A: m
buigsaamheid	b 9y x s A: m h\ @i t
buigsame	b 9y x s A: m @
buik	b 9y k
buis	b 9y s
buise	b 9y s @
buit	b 9y t
buite	b 9y t @
buiteblad	b 9y t @ b l a t
buitedeur	b 9y t @ d 2: r
buitedeure	b 9y t @ d 2: r @
buitegeboue	b 9y t @ x @ b @u @
buitekamer	b 9y t @ k A: m @ r
buitekans	b 9y t @ k A: n s
buitekant	b 9y t @ k a n t
buiteklub	b 9y t @ k l 9 b
buiteland	b 9y t @ l a n t
buitelanders	b 9y t @ l a n d @ r s
buitelands	b 9y t @ l a n t s
buitelandse	b 9y t @ l a n t s @
buitelewe	b 9y t @ l i@ v @
buitelug	b 9y t @ l 9 x
buitelyne	b 9y t @ l @i n @
buitemure	b 9y t @ m y r @
buiten	b 9y t @ n
buitendag	b 9y t @ n d a x
buitendien	b 9y t @ n d i n
buitengewone	b 9y t @ n x @ v u@ n @
buitengewoon	b 9y t @ n x @ v u@ n
buitensporige	b 9y t @ n s p u@ r @ x @
buitenste	b 9y t @ n s t @
buitentoe	b 9y t @ n t u
buiteperd	b 9y t @ p { r t
buitestaander	b 9y t @ s t A: n d @ r
buitestaanders	b 9y t @ s t A: n d @ r s
buitestander	b 9y t @ s t a n d @ r
buitestanders	b 9y t @ s t a n d @ r s
buiteveld	b 9y t @ f { l t
buitewyke	b 9y t @ v @i k @
buitewêreld	b 9y t @ v { r @ l t
buitgemaak	b 9y t x @ m A: k
buk	b 9 k
buks	b 9 k s
bul	b 9 l
bulle	b 9 l @
bulmark	b 9 l m a r k
bult	b 9 l t
bulte	b 9 l t @
bundel	b 9 n d @ l
bundels	b 9 n d @ l s
bure	b y r @
burg	b 9 r x
burgemeester	b 9 r x @ m i@ s t @ r
burgemeesters	b 9 r x @ m i@ s t @ r s
burgemeesterskomitee	b 9 r x @ m i@ s t @ r s k O m @ t i@
burger	b 9 r g @ r
burgerlike	b 9 r g @ r l @ k @
burgerlikes	b 9 r g @ r l @ k @ s
burgerlugvaart	b 9 r g @ r l 9 x f A: r t
burgermaglede	b 9 r g @ r m a x l i@ d @
burgeroorlog	b 9 r g @ r u@ r l O x
burgerregte	b 9 r g @ r r { x t @
burgers	b 9 r g @ r s
burgersentrum	b 9 r g @ r s E n t r 9 m
burgerskap	b 9 r g @ r s k a p
buro	b y r u@
burokrasie	b y r u k r a s i
burokrate	b y r u k r A: t @
burokratiese	b y r u k r A: t i s @
bus	b 9 s
busbestuurder	b 9 s b @ s t y r d @ r
busbestuurders	b 9 s b @ s t y r d @ r s
busdiens	b 9 s d i n s
bushalte	b 9 s h\ a l t @
buskruit	b 9 s k r 9y t
busongeluk	b 9 s O n x @ l 9 k
busse	b 9 s @
bussie	b 9 s i
bussies	b 9 s i s
busvervoer	b 9 s f @ r f u r
buurdorp	b y r d O r p
buurland	b y r l a n t
buurlande	b y r l a n d @
buurman	b y r m a n
buurplaas	b y r p l A: s
buurstate	b y r s t A: t @
buurt	b y r t
buurtwag	b y r t v a x
buurvrou	b y r f r @u
by	b @i
bybehore	b @i b @ h\ u@ r @
bybel	b @i b @ l
bybelboeke	b @i b @ l b u k @
bybelgenootskap	b @i b @ l x @ n u@ t s k a p
bybelhuis	b @i b @ l h\ 9y s
bybels	b @i b @ l s
bybelskool	b @i b @ l s k u@ l
bybelskrywers	b @i b @ l s k r @i v @ r s
bybelstudie	b @i b @ l s t y d i
bybeltale	b @i b @ l t A: l @
bybeltekste	b @i b @ l t E k s t @
bybelverhale	b @i b @ l f @ r h\ A: l @
bybelvertalings	b @i b @ l f @ r t A: l @ N s
bybelwetenskappe	b @i b @ l v i@ t @ n s k a p @
bybetaling	b @i b @ t A: l @ N
bybly	b @i b l @i
bybreekbouler	b @i b r i@ k b @u l @ r
bybring	b @i b r @ N
byderhand	b @i d @ r h\ a n t
byderwetse	b @i d @ r v E t s @
bydra	b @i d r A:
bydrae	b @i d r A: @
bydraer	b @i d r A: @ r
bydraers	b @i d r A: @ r s
bydraes	b @i d r A: @ s
bye	b @i @
byeen	b @i i@ n
byeenbring	b @i i@ n b r @ N
byeengebring	b @i i@ n x @ b r @ N
byeengekom	b @i i@ n x @ k O m
byeenkom	b @i i@ n k O m
byeenkoms	b @i i@ n k O m s
byeenkomste	b @i i@ n k O m s t @
bygaande	b @i x A: n d @
bygedam	b @i x @ d a m
bygedra	b @i x @ d r A:
bygehou	b @i x @ h\ @u
bygekom	b @i x @ k O m
bygekry	b @i x @ k r @i
bygereken	b @i x @ r i@ k @ n
bygestaan	b @i x @ s t A: n
bygesê	b @i x @ s E
bygevoeg	b @i x @ f u x
bygewoon	b @i x @ v u@ n
bykans	b @i k a n s
bykant	b @i k a n t
byklanke	b @i k l a N k @
bykom	b @i k O m
bykomend	b @i k u@ m @ n t
bykomende	b @i k u@ m @ n d @
bykomstighede	b @i k O m s t @ x h\ i@ d @
byl	b @i l
bylaag	b @i l A: x
bylae	b @i l A: @
bylaes	b @i l A: @ s
byle	b @i l @
bymekaar	b @i m @ k A: r
bymekaargekom	b @i m @ k A: r x @ k O m
bymekaargemaak	b @i m @ k A: r x @ m A: k
bymekaarkom	b @i m @ k A: r k O m
bymekaarkomplek	b @i m @ k A: r k O m p l { k
bymekaarmaak	b @i m @ k A: r m A: k
bymiddels	b @i m @ d @ l s
byna	b @i n a
bynaam	b @i n A: m
bysaak	b @i s A: k
bysit	b @i s @ t
byskrifte	b @i s k r @ f t @
byspeelster	b @i s p i@ l s t @ r
byspeler	b @i s p i@ l @ r
bystaan	b @i s t A: n
bystand	b @i s t a n t
byster	b @i s t @ r
bystowwe	b @i s t O v @
byt	b @i t
byval	b @i f a l
byvoeg	b @i f u x
byvoeglike	b @i f u x l @ k @
byvoorbeeld	b @i f u@ r b i@ l t
byvoordele	b @i f u@ r d i@ l @
bywerk	b @i v { r k
bywoning	b @i v u@ n @ N
bywoningsyfer	b @i v u@ n @ N s @i f @ r
bywoon	b @i v u@ n
bywoord	b @i v u@ r t
bêre	b { r @
cabernet	k a b @ r n @i
cadenza	k a d E n z a
calvinistiese	k a l f i n @ s t i s @
camera	k a m @ r a
capita	k a p i t a
carte	k a r t
casino	k a s i n @u
casspirs	k a s p @ r s
ceylon	s @ l O n
chalets	S a l @i s
chaos	x A: O s
chaoties	x a u@ t i s
chaotiese	x a u@ t i s @
charisma	k a r @ s m a
charismatiese	k a r @ s m A: t i s @
chauffeur	S u f 2: r
cheddarkaas	tS E d @ r k A: s
cheetah	tS i t a
chef	S E f
chemici	x i@ m i s i
chemie	x i@ m i
chemiese	x i@ m i s @
chemikalie	x i@ m i k A: l i
chemikalieë	x i@ m i k A: l i @
chemoterapie	x i@ m u t E r a p i
chileense	tS i l i@ n s @
chirurg	S i r 9 r x
chirurgie	S i r 9 r x i
chloor	k l u@ r
chlooramfenikol	k l u@ r a m f E n i k O l
chlorofil	k l u@ r u f @ l
chloroplaste	k l u@ r u p l a s t @
cholera	k u@ l @ r a
cholesterol	k u l E s t @ r O l
choreograaf	k O r i u x r A: f
choreografie	k O r i u x r a f i
christelike	x r @ s t @ l @ k @
christen	x r @ s t @ n
christendom	x r @ s t @ n d O m
christene	x r @ s t @ n @
christenskap	x r @ s t @ n s k a p
christologie	x r @ s t u l u x i
christus	x r @ s t 9 s
chromatografiese	k r u@ m a t u x r A: f i s @
chromosome	k r u@ m u s u@ m @
chromosoom	k r u@ m u s u@ m
chroniese	k r u@ n i s @
chronologie	k r u@ n u l u x i
chronologiese	k r u@ n u l u@ x i s @
clichés	k l i S @i z
coenie	k u n i
collage	k u l A: Z
colombiaanse	k u l O m b i A: n s @
concerto	k O n S { r t u
crescendo	k r @ S E n d u
cum	k u m
curriculum	k y r i k y l 9 m
daad	d A: t
daadwerklik	d A: t v { r k l @ k
daadwerklike	d A: t v { r k l @ k @
daadwerkliks	d A: t v { r k l @ k s
daag	d A: x
daagliks	d A: x l @ k s
daaglikse	d A: x l @ k s @
daai	d A:i
daal	d A: l
daalder	d A: l d @ r
daalfase	d A: l f A: s @
daar	d A: r
daaraan	d A: r A: n
daarbenewens	d A: r b @ n i@ v @ n s
daarbinne	d A: r b @ n @
daarbo	d A: r b u@
daarbuite	d A: r b 9y t @
daarby	d A: r b @i
daardeur	d A: r d 2: r
daardie	d A: r d i
daarenteen	d A: r @ n t i@ n
daargestel	d A: r x @ s t { l
daarheen	d A: r h\ i@ n
daarin	d A: r @ n
daarmee	d A: r m i@
daarna	d A: r n A:
daarnaas	d A: r n A: s
daarom	d A: r O m
daaromheen	d A: r O m h\ i@ n
daaromtrent	d A: r O m t r E n t
daaronder	d A: r O n d @ r
daaroor	d A: r u@ r
daarop	d A: r O p
daaropvolgende	d A: r O p f O l x @ n d @
daarsonder	d A: r s O n d @ r
daarstelling	d A: r s t { l @ N
daarteen	d A: r t i@ n
daarteenoor	d A: r t i@ n u@ r
daartoe	d A: r t u
daartussen	d A: r t 9 s @ n
daaruit	d A: r 9y t
daarvan	d A: r f a n
daarvandaan	d A: r f a n d A: n
daarvolgens	d A: r f O l x @ n s
daarvoor	d A: r f u@ r
dada	d a d a
dade	d A: d @
dadelik	d A: d @ l @ k
dadels	d A: d @ l s
dae	d A: @
dag	d a x
dagbesoekers	d a x b @ s u k @ r s
dagbestuur	d a x b @ s t y r
dagblaaie	d a x b l A:i @
dagblad	d a x b l a t
dagboek	d a x b u k
dagboeke	d a x b u k @
dagbreek	d a x b r i@ k
dagga	d a x a
daglange	d a x l a N @
dagtaak	d a x t A: k
dagvaar	d a x f A: r
dagvaarding	d a x f A: r d @ N
dagvaardings	d a x f A: r d @ N s
dahl	d a l
daisy	d @i z i
dak	d a k
dakke	d a k @
dakloos	d a k l u@ s
daklose	d a k l u@ s @
dakloses	d a k l u@ s @ s
dale	d A: l @
dalende	d A: l @ n d @
daling	d A: l @ N
dalings	d A: l @ N s
dalk	d a l k
dam	d a m
dame	d A: m @
dames	d A: m @ s
damme	d a m @
dampe	d a m p @
damwal	d a m v a l
dan	d a n
dank	d a N k
dankbaar	d a N k b A: r
dankbaarheid	d a N k b A: r h\ @i t
dankbare	d a N k b A: r @
danke	d a N k @
dankie	d a N k i
danksy	d a N k s @i
dans	d A: n s
danse	d A: n s @
danser	d A: n s @ r
dansers	d A: n s @ r s
dansgeselskap	d A: n s x @ s { l s k a p
dansgroep	d A: n s x r u p
danspassies	d A: n s p a s i s
dansteater	d A: n s t i A: t @ r
dansvloer	d A: n s f l u r
dapper	d a p @ r
dapperheid	d a p @ r h\ @i t
darem	d a r @ m
darwin	d A: r w @ n
das	d a s
dasse	d a s @
dat	d a t
data	d A: t a
databasis	d A: t a b A: s @ s
datastel	d A: t a s t { l
dateer	d a t i@ r
datief	d a t i f
datum	d A: t 9 m
datumrooster	d A: t 9 m r u@ s t @ r
datums	d A: t 9 m s
david	d @i v @ d
dawerende	d A: v @ r @ n d @
debakel	d @ b A: k @ l
debat	d @ b a t
debatproposisie	d @ b a t p r O p u z i s i
debatsreëls	d @ b a t s r i @ l s
debatte	d @ b a t @
debatteer	d E b a t i@ r
debietorder	d @ b i t O r d @ r
debietsaldo	d @ b i t s a l d u
debiteer	d E b i t i@ r
debiteure	d E b i t 2: r @
debiteureafslag	d E b i t 2: r @ a f s l a x
debiteurekontrole	d E b i t 2: r @ k O n t r u@ l @
debutante	d E b y t a n t @
debuteer	d E b y t i@ r
debuut	d @ b y t
debuutalbum	d @ b y t a l b 9 m
deco	d E k @u
deduktiewe	d i@ d 9 k t i v @
deeg	d i@ x
deeglik	d i@ x l @ k
deeglike	d i@ x l @ k @
deeglikheid	d i@ x l @ k h\ @i t
deel	d i@ l
deelgeneem	d i@ l x @ n i@ m
deelkraal	d i@ l k r A: l
deelname	d i@ l n A: m @
deelnamepunt	d i@ l n A: m @ p 9 n t
deelneem	d i@ l n i@ m
deelnemende	d i@ l n i@ m @ n d @
deelnemer	d i@ l n i@ m @ r
deelnemers	d i@ l n i@ m @ r s
deels	d i@ l s
deelsomme	d i@ l s O m @
deelstate	d i@ l s t A: t @
deeltitel	d i@ l t i t @ l
deeltitels	d i@ l t i t @ l s
deeltjie	d i@ l k i
deeltyds	d i@ l t @i t s
deeltydse	d i@ l t @i t s @
deense	d i@ n s @
deernis	d i@ r n @ s
deernisvolle	d i@ r n @ s f O l @
dees	d i@ s
deesdae	d i@ s d A: @
defekte	d i f E k t @
definieer	d E f @ n i i@ r
definieër	d E f @ n i i@ r
definisie	d E f @ n i s i
definisies	d E f @ n i s i s
definitief	d E f @ n @ t i f
definitiewe	d E f @ n @ t i v @
definiëring	d E f @ n i i@ r @ N
deflasie	d i@ f l A: s i
deftig	d E f t @ x
deftige	d E f t @ x @
degradasie	d E x r a d A: s i
deiktiese	d @i k t i s @
deins	d @i n s
dek	d { k
dekaan	d @ k A: n
dekade	d @ k A: d @
dekadente	d E k a d E n t @
dekades	d @ k A: d @ s
deken	d i@ k @ n
dekker	d { k @ r
dekking	d { k @ N
deklaag	d { k l A: x
deklinasie	d i@ k l i n A: s i
dekmantel	d { k m a n t @ l
dekodeerder	d i@ k u d i@ r d @ r
dekodeerders	d i@ k u d i@ r d @ r s
dekor	d i@ k O r
dekreet	d @ k r i@ t
deksel	d { k s @ l
deksels	d { k s @ l s
dekveld	d { k f { l t
dele	d i@ l @
delegeer	d @ l @ x i@ r
delegering	d @ l @ x i@ r @ N
delf	d { l f
delg	d { l x
deli	d E l i
delikaat	d E l i k A: t
delikate	d E l i k A: t @
delikte	d @ l @ k t @
deling	d i@ l @ N
delta	d { l t a
demensie	d @ m E n s i
demografie	d E m u x r a f i
demografiese	d E m u x r A: f i s @
demokraat	d E m u k r A: t
demokrasie	d E m u k r a s i
demokrate	d E m u k r A: t @
demokraties	d E m u k r A: t i s
demokratiese	d E m u k r A: t i s @
demokratisering	d E m u k r a t i s i@ r @ N
demone	d @ m u@ n @
demoniese	d @ m u@ n i s @
demonstrasie	d E m O n s t r A: s i
demonstrasies	d E m O n s t r A: s i s
demonstratief	d E m O n s t r a t i f
demonstratiewe	d E m O n s t r a t i v @
demonstreer	d E m O n s t r i@ r
demp	d E m p
demper	d E m p @ r
dempers	d E m p @ r s
den	d E n
dendron	d E n d r O n
denimbroek	d E n @ m b r u k
denkbaar	d E N k b A: r
denkbare	d E N k b A: r @
denkbeeldige	d E N k b i@ l d @ x @
denke	d E N k @
denkende	d E N k @ n d @
denkers	d E N k @ r s
denkkaart	d E N k k A: r t
denkklimaat	d E N k k l i m A: t
denkpatrone	d E N k p a t r u@ n @
denkpatroon	d E N k p a t r u@ n
denkraamwerk	d E N k r A: m v { r k
denkrigting	d E N k r @ x t @ N
denkrigtings	d E N k r @ x t @ N s
denkskool	d E N k s k u@ l
denkvaardighede	d E N k f A: r d @ x h\ i@ d @
denkwyse	d E N k v @i s @
dennebome	d E n @ b u@ m @
denneplantasies	d E n @ p l a n t A: s i s
denominasie	d E n O m i n A: s i
departement	d @ p a r t @ m E n t
departemente	d @ p a r t @ m E n t @
departementele	d @ p a r t @ m E n t i@ l @
departementshoof	d @ p a r t @ m E n t s h\ u@ f
deportasie	d E p O r t A: s i
deposante	d i@ p u s a n t @
deposito	d @ p u@ s @ t u
depositonemende	d @ p u@ s @ t u n i@ m @ n d @
depositostrokies	d @ p u@ s @ t u s t r u@ k i s
depots	d E p u s
depresiasie	d i@ p r i s i A: s i
depressante	d E p r @ s a n t @
depressie	d @ p r E s i
depressief	d E p r @ s i f
depressiewe	d E p r @ s i v @
derde	d { r d @
derdejaar	d { r d @ j A: r
derdens	d { r d @ n s
derdes	d { r d @ s
derduisende	d { r d 9y s @ n d @
deregulasie	d i@ r E x y l A: s i
dereguleer	d i@ r E x y l i@ r
deregulering	d i@ r E x y l i@ r @ N
derek	d i@ r @ k
derhalwe	d { r h\ A: l v @
dermate	d { r m A: t @
dermatitis	d { r m a t i t @ s
dermkanaal	d { r @ m k a n A: l
derms	d { r @ m s
derrick	d E r i k
dertien	d { r t i n
dertiende	d { r t i n d @
dertienjarige	d { r t i n j A: r @ x @
dertig	d { r t @ x
dertigerjare	d { r t @ x @ r j A: r @
dertigjarige	d { r t @ x j A: r @ x @
des	d E s
dese	d i@ s @
desentralisasie	d i@ s E n t r a l i s A: s i
deskriptiewe	d i@ s k r @ p t i v @
deskundige	d E s k 9 n d @ x @
deskundiges	d E s k 9 n d @ x @ s
desnieteenstaande	d E s n i t i@ n s t A: n d @
desondanks	d E s O n d a N k s
desperaat	d E s p @ r A: t
desperaatheid	d E s p @ r A: t h\ @i t
desperate	d E s p @ r A: t @
destruktiewe	d i@ s t r 9 k t i v @
destyds	d E s t @i t s
destydse	d E s t @i t s @
detail	d i t @i l
details	d i t @i l s
determinante	d i@ t { r m i n a n t @
deug	d 2: x
deugde	d 2: x d @
deuntjie	d 2: i N k i
deuntjies	d 2: i N k i s
deur	d 2: r
deurbraak	d 2: r b r A: k
deurbrake	d 2: r b r A: k @
deurbreek	d 2: r b r i@ k
deurbring	d 2: r b r @ N
deurdat	d 2: r d a t
deurdink	d 2: r d @ N k
deurdrenk	d 2: r d r E N k
deurdring	d 2: r d r @ N
deurdruk	d 2: r d r 9 k
deure	d 2: r @
deurentyd	d 2: r @ n t @i t
deurgaans	d 2: r x A: n s
deurgang	d 2: r x a N
deurgebreek	d 2: r x @ b r i@ k
deurgebring	d 2: r x @ b r @ N
deurgedring	d 2: r x @ d r @ N
deurgedruk	d 2: r x @ d r 9 k
deurgee	d 2: r x i@
deurgegaan	d 2: r x @ x A: n
deurgegee	d 2: r x @ x i@
deurgehak	d 2: r x @ h\ a k
deurgekom	d 2: r x @ k O m
deurgelaat	d 2: r x @ l A: t
deurgeloop	d 2: r x @ l u@ p
deurgemaak	d 2: r x @ m A: k
deurgesoek	d 2: r x @ s u k
deurgestuur	d 2: r x @ s t y r
deurgevoer	d 2: r x @ f u r
deurgewerk	d 2: r x @ v { r k
deurkom	d 2: r k O m
deurkruis	d 2: r k r 9y s
deurleefde	d 2: r l i@ f d @
deurlees	d 2: r l i@ s
deurloop	d 2: r l u@ p
deurlopend	d 2: r l u@ p @ n t
deurlopende	d 2: r l u@ p @ n d @
deurmaak	d 2: r m A: k
deurmekaar	d 2: r m @ k A: r
deurnag	d 2: r n a x
deurpaaie	d 2: r p A:i @
deurpad	d 2: r p a t
deursettingsvermoë	d 2: r s E t @ N s f @ r m u @
deursigtig	d 2: r s @ x t @ x
deursigtige	d 2: r s @ x t @ x @
deursigtigheid	d 2: r s @ x t @ x h\ @i t
deurskemer	d 2: r s k i@ m @ r
deurskynend	d 2: r s k @i n @ n t
deurskynende	d 2: r s k @i n @ n d @
deurslag	d 2: r s l a x
deurslaggewend	d 2: r s l a x @ v E n t
deurslaggewende	d 2: r s l a x i@ v @ n d @
deursnee	d 2: r s n i@
deursnit	d 2: r s n @ t
deursoek	d 2: r s u k
deursoeking	d 2: r s u k @ N
deurspek	d 2: r s p E k
deurstaan	d 2: r s t A: n
deurtastende	d 2: r t a s t @ n d @
deurtrek	d 2: r t r { k
deurwerk	d 2: r v { r k
deurwinterde	d 2: r v @ n t @ r d @
deuteronomistiese	d 2: t @ r u n u@ m @ s t i s @
devaluasie	d i@ v a l y A: s i
devalueer	d i@ v a l y i@ r
devaluering	d i@ v a l y i@ r @ N
dewetsdorp	d @ v E t s d O r p
diabeet	d i a b i@ t
diabete	d i a b i@ t @
diabetes	d i a b i@ t @ s
diachroniese	d i a k r u@ n i s @
diagnose	d i a x n u@ s @
diagnoseer	d i a x n u s i@ r
diagnosering	d i a x n u s i@ r @ N
diagnoses	d i a x n u@ s @ s
diagnostiese	d i a x n O s t i s @
diagram	d i a x r a m
diagrammatiese	d i a x r a m A: t i s @
diaken	d i A: k @ n
diakens	d i A: k @ n s
dialek	d i a l E k
dialektiese	d i a l E k t i s @
dialektologie	d i a l E k t u l u x i
dialoog	d i a l u@ x
dialoë	d i a l u @
diamant	d i a m a n t
diamantbedryf	d i a m a n t b @ d r @i f
diamante	d i a m a n t @
diamantvelde	d i a m a n t f { l d @
diarree	d i a r i@
diaspora	d i a s p u@ r a
didaktiek	d i d a k t i k
die	d i
dieet	d i i@ t
dieetkundige	d i i@ t k 9 n d @ x @
dieetkundiges	d i i@ t k 9 n d @ x @ s
dieetriglyne	d i i@ t r @ x l @i n @
dief	d i f
diefstal	d i f s t a l
diefstalle	d i f s t a l @
diefwering	d i f v i@ r @ N
diegene	d i x i@ n @
dien	d i n
dienaar	d i n A: r
dienende	d i n @ n d @
dienooreenkomstig	d i n u@ r i@ n k O m s t @ x
diens	d i n s
diensbaar	d i n s b A: r
diensgeld	d i n s x { l t
diensjare	d i n s j A: r @
dienskneg	d i n s k n { x
dienskommissie	d i n s k u m i s i
dienskontrak	d i n s k O n t r a k
dienslewering	d i n s l i@ v @ r @ N
diensmeisie	d i n s m @i s i
dienspistool	d i n s p @ s t u@ l
diensplig	d i n s p l @ x
dienspligtige	d i n s p l @ x t @ x @
dienspligtiges	d i n s p l @ x t @ x @ s
diensstandaard	d i n s s t a n d A: r t
dienste	d i n s t @
dienstegeld	d i n s t @ x { l t
diensteraad	d i n s t @ r A: t
diensverskaffer	d i n s f @ r s k a f @ r
diensverskaffers	d i n s f @ r s k a f @ r s
diensvoorwaardes	d i n s f u@ r v A: r d @ s
dienswerk	d i n s v { r k
diep	d i p
diepe	d i p @
dieper	d i p @ r
diepgaande	d i p x A: n d @
diepkloof	d i p k l u@ f
diepliggende	d i p l @ x @ n d @
diepsee	d i p s i@
diepsloot	d i p s l u@ t
diepste	d i p s t @
diepte	d i p t @
dieptes	d i p t @ s
dier	d i r
dierbaar	d i r b A: r
dierbare	d i r b A: r @
diere	d i r @
dierearts	d i r @ a r t s
dieregesondheid	d i r @ x @ s O n t h\ @i t
dierelewe	d i r @ l i@ v @
diereliefhebbers	d i r @ l i f h\ E b @ r s
dieremishandeling	d i r @ m @ s h\ a n d @ l @ N
diereprodukte	d i r @ p r u d 9 k t @
diereryk	d i r @ r @i k
dierespesies	d i r @ s p i@ s i s
dieretuin	d i r @ t 9y n
dieretuine	d i r @ t 9y n @
dierkunde	d i r k 9 n d @
dierlike	d i r l @ k @
diersoorte	d i r s u@ r t @
diertjie	d i r k i
diertjies	d i r k i s
dies	d i s
diesel	d i s @ l
dieselenjin	d i s @ l E n j @ n
dieselfde	d i s { l f d @
dieseltenk	d i s @ l t { N k
diewe	d i v @
differensiaalvergelykings	d @ f @ r E n S i A: l f @ r x @ l @i k @ N s
differensiasie	d @ f @ r E n s i A: s i
differensieer	d @ f @ r E n S i i@ r
different	d @ f @ r E n t
diffusie	d @ f y s i
diftonge	d @ f t O N @
dig	d @ x
digbundel	d @ x b 9 n d @ l
digbundels	d @ x b 9 n d @ l s
digby	d @ x b @i
digitaal	d i x i t A: l
digitale	d i x i t A: l @
digkuns	d @ x k 9 n s
digotome	d i x u t u@ m @
digte	d @ x t @
digter	d @ x t @ r
digterlike	d @ x t @ r l @ k @
digters	d @ x t @ r s
digtheid	d @ x t h\ @i t
dik	d @ k
dikderm	d @ k d { r @ m
diktator	d @ k t A: t O r
diktatoriale	d i k t a t u@ r i A: l @
diktators	d @ k t A: t O r s
diktatuur	d @ k t a t y r
dikte	d @ k t @
diktee	d @ k t i@
dikteer	d @ k t i@ r
dikwels	d @ k v @ l s
dilemma	d @ l E m a
dimensie	d i m E n s i
dimensionele	d i m E n S iu n i@ l @
dinamiek	d i n a m i k
dinamies	d i n A: m i s
dinamiese	d i n A: m i s @
dinamika	d i n A: m i k a
dinastie	d i n a s t i
ding	d @ N
dinge	d @ N @
dinges	d @ N @ s
dingetjie	d @ N i k i
dingetjies	d @ N i k i s
dink	d @ N k
dinkwerk	d @ N k v { r k
dinosourusse	d i n u@ s @u r 9 s @
dinsdagmiddag	d @ n s d a x m @ d a x
dip	d @ p
diploma	d @ p l u@ m a
diplomaat	d @ p l u m A: t
diplomakursus	d @ p l u@ m a k 9 r s 9 s
diplomas	d @ p l u@ m a s
diplomasie	d @ p l u m a s i
diplomate	d @ p l u m A: t @
diplomatieke	d @ p l u m a t i k @
diplomaties	d @ p l u m A: t i s
diplomering	d @ p l u m i@ r @ N
dipool	d i p u@ l
direk	d i r E k
direksie	d i r E k s i
direksielede	d i r E k s i l i@ d @
direksielid	d i r E k s i l @ t
direksies	d i r E k s i s
direkte	d i r E k t @
direkteur	d i r E k t 2: r
direkteure	d i r E k t 2: r @
direktoraat	d i r E k t u r A: t
dirigeer	d @ r @ x i@ r
dirigent	d @ r @ x E n t
dirigente	d @ r @ x E n t @
dis	d @ s
disa	d i s a
disinvestering	d @ s @ n f E s t i@ r @ N
disket	d @ s k E t
diskette	d @ s k E t @
disko	d @ s k @u
diskoers	d @ s k u r s
diskoerse	d @ s k u r s @
diskontokoers	d @ s k O n t u k u r s
