'em	@ m
cuirassier	k w @ r\ @ s i@ r\
cuirassiers	k w @ r\ @ s i@ z
cuisine	k w i z i: n
culcheth	k a l tS @ T
culinary	k a l @ n @ r\ i
cull	k a l
culled	k a l d
cullender	k a l @ n d @ r\
cullenders	k a l @ n d @ z
culling	k a l i N
culls	k a l z
culminate	k a l m @ n @i t
culminated	k a l m @ n @i t @ d
culminates	k a l m @ n @i t s
culminating	k a l m @ n @i t i N
culmination	k a l m @ n @i S @ n
culminations	k a l m @ n @i S @ n z
culpability	k a l p @ b i l i t i
culpable	k a l p @ b @ l
culpably	k a l p @ b l i
culprit	k a l p r\ @ t
culprits	k a l p r\ @ t s
cult	k a l t
cultivable	k a l t @ v @ b @ l
cultivate	k a l t @ v @i t
cultivated	k a l t @ v @i t @ d
cultivates	k a l t @ v @i t s
cultivating	k a l t @ v @i t i N
cultivation	k a l t @ v @i S @ n
cultivator	k a l t @ v @i t @ r\
cultivators	k a l t @ v @i t @ z
cults	k a l t s
cultural	k a l tS @ r\ @ l
culturally	k a l tS @ r\ @ l i
culture	k a l tS @ r\
cultured	k a l tS @ d
cultures	k a l tS @ z
culvert	k a l v @ t
culverts	k a l v @ t s
cumber	k a m b @ r\
cumbered	k a m b @ d
cumbering	k a m b @ r\ i N
cumberland	k a m b @ l @ n d
cumbernauld	k a m b @ n O: l d
cumbers	k a m b @ z
cumbersome	k a m b @ s @ m
cumbria	k a m b r\ i@
cumbrous	k a m b r\ @ s
cummerbund	k a m @ b a n d
cummerbunds	k a m @ b a n d z
cumnock	k a m n @ k
cumulative	k j u: m j U l @ t @ v
cumulatively	k j u: m j U l @ t @ v l i
cumuli	k j u: m j U l ai
cumulus	k j u: m j U l @ s
cuneiform	k j u: n i f O: m
cunning	k a n i N
cunningly	k a n i N l i
cunt	k a n t
cunts	k a n t s
cuomo	k u: m @u
cup	k a p
cupar	k u: p @ r\
cupboard	k a b @ d
cupboards	k a b @ d z
cupertino	k u: p @ t i: n @u
cupful	k a p f U l
cupfuls	k a p f U l z
cupid	k j u: p @ d
cupidity	k j u: p i d i t i
cupola	k j u: p @ l @
cupolas	k j u: p @ l @ z
cuppa	k a p @
cuppas	k a p @ z
cupped	k a p t
cupping	k a p i N
cupric	k j u: p r\ i k
cups	k a p s
cur	k 3: r\
curability	k j u@ r\ @ b i l i t i
curable	k j u@ r\ @ b @ l
curacies	k j u@ r\ @ s i s
curacy	k j u@ r\ @ s i
curate	k j u@ r\ @ t
curates	k j u@ r\ @ t s
curative	k j u@ r\ @ t @ v
curator	k j u@ r\ @i t @ r\
curators	k j u@ r\ @i t @ z
curb	k 3: b
curbed	k 3: b d
curbing	k 3: b i N
curbs	k 3: b z
curd	k 3: d
curdle	k 3: d @ l
curdled	k 3: d @ l d
curdles	k 3: d @ l z
curdling	k 3: d l i N
curds	k 3: d z
cure	k j u@ r\
cured	k j u@ d
cures	k j u@ z
curfew	k 3: f j u:
curfews	k 3: f j u: z
curing	k j u@ r\ i N
curio	k j u@ r\ i@ @
curios	k j u@ r\ i@ U z
curiosities	k j u@ r\ i Q s i t i z
curiosity	k j u@ r\ i Q s i t i
curious	k j u@ r\ i@ s
curiously	k j u@ r\ i@ s l i
curitiba	k u@ r\ i t i: b @
curl	k 3: l
curled	k 3: l d
curler	k 3: l @ r\
curlers	k 3: l @ z
curlew	k 3: l j u:
curlews	k 3: l j u: z
curlier	k 3: l i@ r\
curliest	k 3: l i @ s t
curling	k 3: l i N
curls	k 3: l z
curly	k 3: l i
curmudgeon	k 3: m a d0Z @ n
curmudgeons	k 3: m a d0Z @ n z
currant	k a r\ @ n t
currants	k a r\ @ n t s
currencies	k a r\ @ n s i s
currency	k a r\ @ n s i
current	k a r\ @ n t
currently	k a r\ @ n t l i
currents	k a r\ @ n t s
curricula	k @ r\ i k j U l @
curriculum	k @ r\ i k j U l @ m
curriculums	k @ r\ i k j U l @ m z
currie	k a r\ i
curried	k a r\ i d
curries	k a r\ i z
currish	k 3: r\ i S
currishly	k 3: r\ i S l i
curry	k a r\ i
currying	k a r\ i i N
curs	k 3: z
curse	k 3: s
cursed	k 3: s @ d
cursedly	k 3: s @ d l i
curses	k 3: s @ s
cursing	k 3: s i N
cursive	k 3: s @ v
cursorily	k 3: s @ r\ @ l i
cursory	k 3: s @ r\ i
curst	k 3: s t
curt	k 3: t
curtail	k 3: t @i l
curtailed	k 3: t @i l d
curtailing	k 3: t @i l i N
curtailment	k 3: t @i l m @ n t
curtailments	k 3: t @i l m @ n t s
curtails	k 3: t @i l z
curtain	k 3: t @ n
curtained	k 3: t @ n d
curtaining	k 3: t n i N
curtains	k 3: t @ n z
curtly	k 3: t l i
curtness	k 3: t n @ s
curtsey	k 3: t s i
curtseyed	k 3: t s @ d
curtseying	k 3: t s i i N
curtseys	k 3: t s i s
curtsied	k 3: t s i d
curtsies	k 3: t s i s
curtsy	k 3: t s i
curtsying	k 3: t s i i N
curvature	k 3: v @ tS @ r\
curve	k 3: v
curved	k 3: v d
curves	k 3: v z
curving	k 3: v i N
cushier	k U S i@ r\
cushiest	k U S i @ s t
cushion	k U S @ n
cushioned	k U S @ n d
cushioning	k U S @ n i N
cushions	k U S @ n z
cushy	k U S i
cusp	k a s p
cuspidor	k a s p i d O: r\
cuspidors	k a s p i d O: z
cusps	k a s p s
cuss	k a s
cussed	k a s @ d
cussedly	k a s @ d l i
cussedness	k a s @ d n @ s
cusses	k a s @ s
custard	k a s t @ d
custards	k a s t @ d z
custodial	k a s t @u d i@ l
custodian	k a s t @u d i@ n
custodians	k a s t @u d i@ n z
custody	k a s t @ d i
custom	k a s t @ m
customarily	k a s t @ m @ r\ @ l i
customary	k a s t @ m @ r\ i
customer	k a s t @ m @ r\
customers	k a s t @ m @ z
customs	k a s t @ m z
cut	k a t
cutback	k a t b { k
cutbacks	k a t b { k s
cute	k j u: t
cutely	k j u: t l i
cuteness	k j u: t n @ s
cuter	k j u: t @ r\
cutest	k j u: t @ s t
cuticle	k j u: t i k @ l
cuticles	k j u: t i k @ l z
cutlass	k a t l @ s
cutlasses	k a t l @ s @ s
cutler	k a t l @ r\
cutlers	k a t l @ z
cutlery	k a t l @ r\ i
cutlet	k a t l @ t
cutlets	k a t l @ t s
cutoff	k a t Q v
cutpurse	k a t p 3: s
cutpurses	k a t p 3: s @ s
cuts	k a t s
cutter	k a t @ r\
cutters	k a t @ z
cutthroat	k a t T r\ @u t
cutting	k a t i N
cuttings	k a t i N z
cuttlefish	k a t @ l f i S
cuttlefishes	k a t @ l f i S @ z
cutworm	k a t w 3: m
cutworms	k a t w 3: m z
cwmbran	k u: m b r\ A: n
cyanide	s ai @ n ai d
cybernetic	s ai b @ n E t i k
cybernetics	s ai b @ n E t i k s
cyclamen	s i k l @ m @ n
cyclamens	s i k l @ m @ n z
cycle	s ai k @ l
cycled	s ai k @ l d
cycles	s ai k @ l z
cyclic	s ai k l i k
cyclical	s ai k l i k @ l
cycling	s ai k l i N
cyclist	s ai k l @ s t
cyclists	s ai k l @ s t s
cyclone	s ai k l @u n
cyclones	s ai k l @u n z
cyclonic	s ai k l Q n i k
cyclopaedia	s ai k l @ p i: d i@
cyclopaedias	s ai k l @ p i: d i@ z
cyclopean	s ai k l @u p i@ n
cyclostyle	s ai k l @ s t ai l
cyclostyled	s ai k l @ s t ai l d
cyclostyles	s ai k l @ s t ai l z
cyclostyling	s ai k l @ s t ai l i N
cyclotron	s ai k l @ t r\ Q n
cyclotrons	s ai k l @ t r\ Q n z
cyder	s ai d @ r\
cyders	s ai d @ z
cygnet	s i g n @ t
cygnets	s i g n @ t s
cylinder	s @ l @ n d @ r\
cylinders	s @ l @ n d @ z
cylindrical	s @ l @ n d r\ i k @ l
cymbal	s @ m b @ l
cymbals	s @ m b @ l z
cynic	s i n i k
cynical	s i n i k @ l
cynically	s i n i k l i
cynicism	s @ n @ s @ z @ m
cynicisms	s @ n @ s @ z @ m z
cynics	s i n i k s
cynosure	s @ n @ z j u@ r\
cynosures	s @ n @ z j u@ z
cynthia	s @ n T i@
cypher	s ai f @ r\
cyphered	s ai f @ d
cyphering	s ai f @ r\ i N
cyphers	s ai f @ z
cypress	s ai p r\ @ s
cypresses	s ai p r\ @ s @ s
cyprian	s i p r\ i@ n
cypriot	s i p r\ i@ t
cypriots	s i p r\ i@ t s
cyprus	s ai p r\ @ s
cyril	s @ r\ @ l
cyrillic	s i r\ i l i k
cyst	s @ s t
cysts	s @ s t s
czar	z A: r\
czarina	z A: r\ i: n @
czarinas	z A: r\ i: n @ z
czars	z A: z
czech	tS E k
czechoslovak	tS E k @u s l @u v { k
czechoslovakia	tS E k @u s l @ v { k i@
czechoslovakian	tS E k @u s l @ v { k i@ n
czechoslovakians	tS E k @u s l @ v { k i@ n z
czechoslovaks	tS E k @u s l @u v { k s
czechs	tS E k s
d's	d i: z
dab	d { b
dabbed	d { b d
dabbing	d { b i N
dabble	d { b @ l
dabbled	d { b @ l d
dabbler	d { b l @ r\
dabblers	d { b l @ z
dabbles	d { b @ l z
dabbling	d { b l i N
dabs	d { b z
dacca	d { k @
dace	d @i s
dacha	d { tS @
dachas	d { tS @ z
dachshund	d { k s h\ U n d
dachshunds	d { k s h\ U n d z
dacoit	d @ k Oi t
dacoities	d @ k Oi t i z
dacoits	d @ k Oi t s
dacoity	d @ k Oi t i
dactyl	d { k t @ l
dactylic	d { k t i l i k
dactyls	d { k t @ l z
dad	d { d
daddies	d { d i z
daddy	d { d i
dado	d @i d @u
dados	d @i d @u z
dads	d { d z
daemon	d i: m @ n
daemons	d i: m @ n z
daewoo	d @i w u:
daffodil	d { f @ d @ l
daffodils	d { f @ d @ l z
daft	d A: f t
dafter	d A: f t @ r\
daftest	d A: f t @ s t
daftly	d A: f t l i
dagger	d { g @ r\
daggers	d { g @ z
dago	d @i g @u
dagos	d @i g @u z
daguerreotype	d @ g E r\ @ t ai p
daguerreotypes	d @ g E r\ @ t ai p s
dahlia	d @i l i@
dahlias	d @i l i@ z
dahmer	d A: m @ r\
dai	d ai
dailies	d @i l i z
daily	d @i l i
daintier	d @i n t i@ r\
dainties	d @i n t i z
daintiest	d @i n t i @ s t
daintily	d @i n t i l i
daintiness	d @i n t @ n @ s
dainty	d @i n t i
dairies	d e@ r\ i z
dairy	d e@ r\ i
dairying	d e@ r\ i i N
dairymaid	d e@ r\ @ m @i d
dairymaids	d e@ r\ @ m @i d z
dairyman	d e@ r\ i m { n
dairymen	d e@ r\ i m E n
dais	d @i @ s
daises	d @i @ s @ s
daisies	d @i z i z
daisy	d @i z i
daiwa	d ai w {
dakar	d { k @ r\
dakota	d @ k @u t @
dale	d @i l
dales	d @i l z
dalesman	d @i l z m @ n
dalesmen	d @i l z m @ n
daley	d @i l i
dali	d { l i
dalkeith	d { l k i: T
dallas	d { l @ s
dalliance	d { l i@ n s
dallied	d { l i d
dallies	d { l i z
dally	d { l i
dallying	d { l i i N
dalmatian	d { l m @i S @ n
dalmatians	d { l m @i S @ n z
dalry	d { l r\ ai
dalton	d Q l t @ n
dam	d { m
damage	d { m i d0Z
damaged	d { m i d0Z d
damages	d { m i d0Z @ z
damaging	d { m i d0Z i N
damascene	d { m @ s i: n
damascened	d { m @ s i: n d
damascenes	d { m @ s i: n z
damascening	d { m @ s i: n i N
damascus	d @ m { s k @ s
damask	d { m @ s k
dame	d @i m
dames	d @i m z
dammed	d { m d
damming	d { m i N
damn	d { m
damnable	d { m n @ b @ l
damnably	d { m n @ b l i
damnation	d { m n @i S @ n
damned	d { m d
damning	d { m i N
damns	d { m z
damocles	d { m @ k l i: z
damp	d { m p
damped	d { m p t
dampen	d { m p @ n
dampened	d { m p @ n d
dampening	d { m p @ n i N
dampens	d { m p @ n z
damper	d { m p @ r\
dampers	d { m p @ z
dampest	d { m p @ s t
damping	d { m p i N
dampish	d { m p i S
damply	d { m p l i
dampness	d { m p n @ s
damps	d { m p s
dams	d { m z
damsel	d { m z @ l
damsels	d { m z @ l z
damson	d { m z @ n
damsons	d { m z @ n z
dan	d { n
dance	d A: n s
danced	d A: n s t
dancer	d A: n s @ r\
dancers	d A: n s @ z
dances	d A: n s @ s
dancing	d A: n s i N
dandelion	d { n d @ l ai @ n
dandelions	d { n d @ l ai @ n z
dander	d { n d @ r\
dandies	d { n d i z
dandified	d { n d @ f ai d
dandle	d { n d @ l
dandled	d { n d @ l d
dandles	d { n d @ l z
dandling	d { n d l i N
dandruff	d { n d r\ a f
dandy	d { n d i
dane	d @i n
danes	d @i n z
danger	d @i n d0Z @ r\
dangerous	d @i n d0Z @ r\ @ s
dangerously	d @i n d0Z @ r\ @ s l i
dangers	d @i n d0Z @ z
dangle	d { N g @ l
dangled	d { N g @ l d
dangles	d { N g @ l z
dangling	d { N g l i N
daniel	d A: n i@ l
danielle	d { n i E l
daniels	d A: n i@ l z
danish	d @i n i S
dank	d { N k
danker	d { N k @ r\
dankest	d { N k @ s t
danny	d { n i
dante	d A: n t @i
danube	d { n j u: b
daphne	d { f n i
daphnes	d { f n @ z
dapper	d { p @ r\
dapple	d { p @ l
dappled	d { p @ l d
dapples	d { p @ l z
dappling	d { p l i N
darby	d A: b i
dare	d e@ r\
dared	d e@ d
daredevil	d e@ d E v @ l
daredevils	d e@ d E v @ l z
daren't	d e@ n t
darenth	d { r\ @ n T
dares	d e@ z
daresay	d e@ s @i
darfield	d A: f i: l d
daring	d e@ r\ i N
daringly	d e@ r\ i N l i
dark	d A: k
darken	d A: k @ n
darkened	d A: k @ n d
darkening	d A: k @ n i N
darkens	d A: k @ n z
darker	d A: k @ r\
darkest	d A: k @ s t
darkey	d A: k i
darkeys	d A: k i z
darkie	d A: k i
darkies	d A: k i z
darkly	d A: k l i
darkness	d A: k n @ s
darkroom	d A: k r\ u: m
darkrooms	d A: k r\ u: m z
darky	d A: k i
darling	d A: l i N
darlings	d A: l i N z
darlington	d A: l i N t @ n
darmstadt	d A: m s t { t
darn	d A: n
darned	d A: n d
darning	d A: n i N
darns	d A: n z
dart	d A: t
darted	d A: t @ d
dartford	d A: t f @ d
darting	d A: t i N
dartmoor	d A: t m u@ r\
dartmouth	d A: t m @ T
darts	d A: t s
darwen	d A: w @ n
darwin	d A: w @ n
daryl	d { r\ @ l
dash	d { S
dashboard	d { S b O: d
dashboards	d { S b O: d z
dashed	d { S t
dashes	d { S @ z
dashing	d { S i N
dashingly	d { S i N l i
dastard	d { s t @ d
dastardly	d { s t @ d l i
dastards	d { s t @ d z
data	d @i t @
datable	d @i t @ b @ l
dataproducts	d @i t @ p r\ Q d a k t s
date	d @i t
dated	d @i t @ d
dateless	d @i t l @ s
dateline	d @i t l ai n
datelines	d @i t l ai n z
dates	d @i t s
dating	d @i t i N
dative	d @i t @ v
datives	d @i t @ v z
datum	d @i t @ m
daub	d O: b
daubed	d O: b d
dauber	d O: b @ r\
daubers	d O: b @ z
daubing	d O: b i N
daubs	d O: b z
daughter	d O: t @ r\
daughterly	d O: t @ l i
daughters	d O: t @ z
daunt	d O: n t
daunted	d O: n t @ d
daunting	d O: n t i N
dauntless	d O: n t l @ s
dauntlessly	d O: n t l i s l i
daunts	d O: n t s
dauphin	d O: f @ n
dauphins	d O: f @ n z
dave	d @i v
davenport	d { v @ n p O: t
davenports	d { v @ n p O: t s
daventry	d { v @ n t r\ i
davey	d @i v i
david	d @i v @ d
davidson	d @i v @ d s @ n
davis	d @i v @ s
davit	d { v @ t
davits	d { v @ t s
daw	d O:
dawdle	d O: d @ l
dawdled	d O: d @ l d
dawdler	d O: d l @ r\
dawdlers	d O: d l @ z
dawdles	d O: d @ l z
dawdling	d O: d l i N
dawley	d O: l i
dawlish	d O: l i S
dawn	d O: n
dawned	d O: n d
dawning	d O: n i N
dawns	d O: n z
daws	d O: z
day	d @i
daybook	d @i b U k
daybooks	d @i b U k s
dayboy	d @i b Oi
dayboys	d @i b Oi z
daybreak	d @i b r\ @i k
daybreaks	d @i b r\ @i k s
daydream	d @i d r\ i: m
daydreamed	d @i d r\ i: m d
daydreaming	d @i d r\ i: m i N
daydreams	d @i d r\ i: m z
daygirl	d @i g 3: l
daygirls	d @i g 3: l z
daylight	d @i l ai t
daylong	d @i l Q N
days	d @i z
dayspring	d @i s p r\ i N
daysprings	d @i s p r\ i N z
daytime	d @i t ai m
daytimes	d @i t ai m z
dayton	d @i t @ n
daze	d @i z
dazed	d @i z d
dazedly	d @i z @ d l i
dazes	d @i z @ z
dazing	d @i z i N
dazzle	d { z @ l
dazzled	d { z @ l d
dazzles	d { z @ l z
dazzling	d { z l i N
de	d @
deacon	d i: k @ n
deaconess	d i: k @ n E s
deaconesses	d i: k @ n E s @ s
deacons	d i: k @ n z
dead	d E d
deaden	d E d @ n
deadened	d E d @ n d
deadening	d E d n i N
deadens	d E d @ n z
deadlier	d E d l i@ r\
deadliest	d E d l i @ s t
deadline	d E d l ai n
deadlines	d E d l ai n z
deadlock	d E d l Q k
deadlocked	d E d l Q k t
deadlocks	d E d l Q k s
deadly	d E d l i
deadpan	d E d p { n
deaf	d E f
deafen	d E f @ n
deafened	d E f @ n d
deafening	d E f n i N
deafens	d E f @ n z
deafer	d E f @ r\
deafest	d E f @ s t
deafness	d E f n @ s
deal	d i: l
dealer	d i: l @ r\
dealers	d i: l @ z
dealing	d i: l i N
dealings	d i: l i N z
deals	d i: l z
dealt	d E l t
dean	d i: n
deaneries	d i: n @ r\ i z
deanery	d i: n @ r\ i
deans	d i: n z
dear	d i@ r\
dearer	d i@ r\ @ r\
dearest	d i@ r\ @ s t
dearie	d i@ r\ i
dearies	d i@ r\ i z
dearly	d i@ l i
dearness	d i@ n @ s
dears	d i@ z
dearth	d 3: T
dearths	d 3: T s
deary	d i@ r\ i
death	d E T
deathbed	d E T b E d
deathbeds	d E T b E d z
deathblow	d E T b l @u
deathblows	d E T b l @u z
deathless	d E T l @ s
deathlike	d E T l ai k
deathly	d E T l i
deaths	d E T s
deathtrap	d E T t r\ { p
deathtraps	d E T t r\ { p s
deb	d E b
debacle	d @i b a k @ l
debag	d i: b { g
debagged	d i: b { g d
debagging	d i: b { g i N
debags	d i: b { g z
debar	d i b A: r\
debark	d i b A: k
debarkation	d i: b A: k @i S @ n
debarkations	d i: b A: k @i S @ n z
debarked	d i b A: k t
debarking	d i b A: k i N
debarks	d i b A: k s
debarred	d i b A: d
debarring	d i b A: r\ i N
debars	d i b A: z
debase	d i b @i s
debased	d i b @i s t
debasement	d i b @i s m @ n t
debasements	d i b @i s m @ n t s
debases	d i b @i s @ s
debasing	d i b @i s i N
debatable	d i b @i t @ b @ l
debate	d i b @i t
debated	d i b @i t @ d
debater	d i b @i t @ r\
debaters	d i b @i t @ z
debates	d i b @i t s
debating	d i b @i t i N
debauch	d i b O: tS
debauched	d i b O: tS t
debauchee	d i b O: tS i
debauchees	d i b O: tS i: z
debaucheries	d i b O: tS @ r\ i z
debauchery	d i b O: tS @ r\ i
debauches	d i b O: tS @ z
debauching	d i b O: tS i N
debbie	d E b i
debby	d E b i
debenture	d i b E n tS @ r\
debentures	d i b E n tS @ z
debilitate	d @ b @ l @ t @i t
debilitated	d @ b @ l @ t @i t @ d
debilitates	d @ b @ l @ t @i t s
debilitating	d @ b @ l @ t @i t i N
debility	d i b i l i t i
debit	d E b @ t
debited	d E b @ t @ d
debiting	d E b i t i N
debits	d E b @ t s
debonair	d E b @ n e@ r\
deborah	d E b @ r\ @
debouch	d i b au tS
debouched	d i b au tS t
debouches	d i b au tS @ z
debouching	d i b au tS i N
debrief	d i: b r\ i: f
debriefed	d i: b r\ i: f t
debriefing	d i: b r\ i: f i N
debriefs	d i: b r\ i: f s
debris	d @i b r\ i
debs	d E b z
debt	d E t
debtor	d E t @ r\
debtors	d E t @ z
debts	d E t s
debug	d i: b a g
debugged	d i: b a g d
debugging	d i: b a g i N
debugs	d i: b a g z
debunk	d i: b a N k
debunked	d i: b a N k t
debunking	d i: b a N k i N
debunks	d i: b a N k s
debut	d @i b j u:
debutante	d E b j u: t A: n t
debutantes	d E b j u: t A: n t s
debuted	d @i b j u: d
debuting	d @i b j u: t i N
debuts	d @i b j u: z
dec	d E k
decade	d E k @i d
decadence	d E k @ d @ n s
decadent	d E k @ d @ n t
decadents	d E k @ d @ n t s
decades	d E k @i d z
decalogue	d E k @ l Q g
decalogues	d E k @ l Q g z
decamp	d i k { m p
decamped	d i k { m p t
decamping	d i k { m p i N
decamps	d i k { m p s
decant	d i k { n t
decanted	d i k { n t @ d
decanter	d i k { n t @ r\
decanters	d i k { n t @ z
decanting	d i k { n t i N
decants	d i k { n t s
decapitate	d i k { p @ t @i t
decapitated	d i k { p @ t @i t @ d
decapitates	d i k { p @ t @i t s
decapitating	d i k { p @ t @i t i N
decapitation	d i k { p @ t @i S @ n
decapitations	d i k { p @ t @i S @ n z
decarbonize	d i: k A: b @ n ai z
decarbonized	d i: k A: b @ n ai z d
decarbonizes	d i: k A: b @ n ai z @ z
decarbonizing	d i: k A: b @ n ai z i N
decasyllabic	d E k @ s i l { b i k
decasyllable	d E k @ s @ l @ b @ l
decasyllables	d E k @ s @ l @ b @ l z
decay	d i k @i
decayed	d i k @i d
decaying	d i k @i i N
decays	d i k @i z
decease	d i s i: s
deceased	d i s i: s t
deceases	d i s i: s @ s
deceasing	d i s i: s i N
deceit	d i s i: t
deceitful	d i s i: t f U l
deceitfully	d i s i: t f U l i
deceitfulness	d i s i: t f U l n @ s
deceits	d i s i: t s
deceive	d i s i: v
deceived	d i s i: v d
deceiver	d i s i: v @ r\
deceivers	d i s i: v @ z
deceives	d i s i: v z
deceiving	d i s i: v i N
deceivingly	d i s i: v i N l i
decelerate	d i: s E l @ r\ @i t
decelerated	d i: s E l @ r\ @i t @ d
decelerates	d i: s E l @ r\ @i t s
decelerating	d i: s E l @ r\ @i t i N
december	d i s E m b @ r\
decembers	d i s E m b @ z
decencies	d i: s @ n s i s
decency	d i: s @ n s i
decent	d i: s @ n t
decently	d i: s @ n t l i
decentralization	d i: s E n t r\ @ l ai z @i S @ n
decentralize	d i: s E n t r\ @ l ai z
decentralized	d i: s E n t r\ @ l ai z d
decentralizes	d i: s E n t r\ @ l ai z @ z
decentralizing	d i: s E n t r\ @ l ai z i N
deception	d i s E p S @ n
deceptions	d i s E p S @ n z
deceptive	d i s E p t @ v
deceptively	d i s E p t @ v l i
decibel	d E s i b E l
decibels	d E s i b E l z
decide	d i s ai d
decided	d i s ai d @ d
decidedly	d i s ai d @ d l i
decides	d i s ai d z
deciding	d i s ai d i N
deciduous	d i s i d j u@ s
decimal	d E s @ m @ l
decimalization	d E s @ m @ l ai z @i S @ n
decimalize	d E s @ m @ l ai z
decimalized	d E s @ m @ l ai z d
decimalizes	d E s @ m @ l ai z @ z
decimalizing	d E s @ m @ l ai z i N
decimals	d E s @ m @ l z
decimate	d E s @ m @i t
decimated	d E s @ m @i t @ d
decimates	d E s @ m @i t s
decimating	d E s @ m @i t i N
decipher	d i s ai f @ r\
decipherable	d i s ai f r\ @ b @ l
deciphered	d i s ai f @ d
deciphering	d i s ai f @ r\ i N
deciphers	d i s ai f @ z
decision	d i s i Z n
decisions	d i s i Z n z
decisive	d i s ai s @ v
decisively	d i s ai s @ v l i
deck	d E k
decked	d E k t
decker	d E k @ r\
deckers	d E k @ z
decking	d E k i N
decks	d E k s
declaim	d i k l @i m
declaimed	d i k l @i m d
declaiming	d i k l @i m i N
declaims	d i k l @i m z
declamation	d E k l @ m @i S @ n
declamations	d E k l @ m @i S @ n z
declamatory	d i k l { m @ t @ r\ i
declarable	d i k l e@ r\ @ b @ l
declaration	d E k l @ r\ @i S @ n
declarations	d E k l @ r\ @i S @ n z
declare	d i k l e@ r\
declared	d i k l e@ d
declares	d i k l e@ z
declaring	d i k l e@ r\ i N
declassification	d i: k l { s i f i k @i S @ n
declassifications	d i: k l { s i f i k @i S @ n z
declassified	d i: k l { s @ f ai d
declassifies	d i: k l { s @ f ai z
declassify	d i: k l { s @ f ai
declassifying	d i: k l { s @ f ai i N
declension	d i k l E n S @ n
declensions	d i k l E n S @ n z
declination	d E k l @ n @i S @ n
declinations	d E k l @ n @i S @ n z
decline	d i k l ai n
declined	d i k l ai n d
declines	d i k l ai n z
declining	d i k l ai n i N
declivities	d i k l i v i t i z
declivity	d i k l i v i t i
declutch	d i: k l a tS
declutched	d i: k l a tS t
declutches	d i: k l a tS @ z
declutching	d i: k l a tS i N
decode	d i: k @u d
decoded	d i: k @u d @ d
decoder	d i: k @u d @ r\
decoders	d i: k @u d @ z
decodes	d i: k @u d z
decoding	d i: k @u d i N
decoke	d i: k @u k
decoked	d i: k @u k t
decokes	d i: k @u k s
decoking	d i: k @u k i N
decolonization	d i: k Q l @ n ai z @i S @ n
decolonize	d i: k Q l @ n ai z
decolonized	d i: k Q l @ n ai z d
decolonizes	d i: k Q l @ n ai z @ z
decolonizing	d i: k Q l @ n ai z i N
decompose	d i: k @ m p @u z
decomposed	d i: k @ m p @u z d
decomposes	d i: k @ m p @u z @ z
decomposing	d i: k @ m p @u z i N
decomposition	d i: k Q m p @ z i S @ n
decompositions	d i: k Q m p @ z i S @ n z
decompress	d i: k @ m p r\ E s
decompressed	d i: k @ m p r\ E s t
decompresses	d i: k @ m p r\ E s @ s
decompressing	d i: k @ m p r\ E s i N
decompression	d i: k @ m p r\ E S @ n
decompressions	d i: k @ m p r\ E S @ n z
decontaminate	d i: k @ n t { m @ n @i t
decontaminated	d i: k @ n t { m @ n @i t @ d
decontaminates	d i: k @ n t { m @ n @i t s
decontaminating	d i: k @ n t { m @ n @i t i N
decontamination	d i: k @ n t { m @ n @i S @ n
decontrol	d i: k @ n t r\ @u l
decontrolled	d i: k @ n t r\ @u l d
decontrolling	d i: k @ n t r\ @u l i N
decontrols	d i: k @ n t r\ @u l z
decor	d @i k O: r\
decorate	d E k @ r\ @i t
decorated	d E k @ r\ @i t @ d
decorates	d E k @ r\ @i t s
decorating	d E k @ r\ @i t i N
decoration	d E k @ r\ @i S @ n
decorations	d E k @ r\ @i S @ n z
decorative	d E k @ r\ @ t @ v
decorator	d E k @ r\ @i t @ r\
decorators	d E k @ r\ @i t @ z
decorous	d E k @ r\ @ s
decorously	d E k @ r\ @ s l i
decorum	d i k O: r\ @ m
decoy	d i: k Oi
decoyed	d i k Oi d
decoying	d i k Oi i N
decoys	d i: k Oi z
decrease	d i: k r\ i: s
decreased	d i k r\ i: s t
decreases	d i: k r\ i: s @ s
decreasing	d i k r\ i: s i N
decree	d i k r\ i
decreed	d i k r\ i: d
decreeing	d i k r\ i: i N
decrees	d i k r\ i: z
decrepit	d i k r\ E p @ t
decrepitude	d i k r\ E p i t j u: d
decried	d i k r\ ai d
decries	d i k r\ ai z
decry	d i k r\ ai
decrying	d i k r\ ai i N
dedicate	d E d i k @i t
dedicated	d E d i k @i t @ d
dedicates	d E d i k @i t s
dedicating	d E d i k @i t i N
dedication	d E d i k @i S @ n
dedications	d E d i k @i S @ n z
deduce	d i d j u: s
deduced	d i d j u: s t
deduces	d i d j u: s @ s
deducing	d i d j u: s i N
deduct	d i d a k t
deducted	d i d a k t @ d
deductible	d i d a k t @ b @ l
deducting	d i d a k t i N
deduction	d i d a k S @ n
deductions	d i d a k S @ n z
deductive	d i d a k t @ v
deducts	d i d a k t s
deed	d i: d
deedpoll	d i: d p @u l
deedpolls	d i: d p @u l z
