can't	k> a n t>
diragatseng	d i r a x a ts> E N
diragatswa	d i r a x a ts> w a
diragatswang	d i r a x a ts> w a N
diragatswe	d i r a x a ts> w E
diragetse	d i r a x E ts> E
diragetseng	d i r a x E ts> E N
dirai	d i r a i
diraka	d i r a k> a
dirakaka	d i r a k> a k> a
dirakanya	d i r a k> a J a
diraleng	d i r a l E N
dirame	d i r a m E
dirana	d i r a n a
diranang	d i r a n a N
diraneng	d i r a n E N
dirang	d i r a N
diranta	d i r a n t> a
dirapa	d i r a p> a
dirasiti	d i r a s i t> i
direferentamo	d i r E f E r E n t> a m O
direga	d i r E x a
diregang	d i r E x a N
direge	d i r E x E
diregile	d i r E x i l E
diregileng	d i r E x i l E N
direko	d i r E k> O
direkotong	d i r E k> O t> O N
direla	d i r E l a
direlana	d i r E l a n a
direlanang	d i r E l a n a N
direlang	d i r E l a N
direle	d i r E l E
direleng	d i r E l E N
direlwa	d i r E l w a
direlwang	d i r E l w a N
direlwe	d i r E l w E
direng	d i r E N
dirente	d i r E n t> E
diresiti	d i r E s i t> i
diretse	d i r E ts> E
diretseng	d i r E ts> E N
diretswe	d i r E ts> w E
diretsweng	d i r E ts> w E N
dirile	d i r i l E
dirileng	d i r i l E N
dirilwe	d i r i l w E
dirilweng	d i r i l w E N
diripa	d i r i p> a
diripana	d i r i p> a n a
dirisa	d i r i s a
dirisana	d i r i s a n a
dirisanang	d i r i s a n a N
dirisane	d i r i s a n E
dirisaneng	d i r i s a n E N
dirisang	d i r i s a N
dirisanya	d i r i s a J a
dirise	d i r i s E
diriseditswe	d i r i s E d i ts> w E
diriseditsweng	d i r i s E d i ts> w E N
dirisediwa	d i r i s E d i w a
dirisediwang	d i r i s E d i w a N
dirisega	d i r i s E x a
dirisegang	d i r i s E x a N
diriseng	d i r i s E N
dirisetsa	d i r i s E ts> a
dirisetsang	d i r i s E ts> a N
dirisetse	d i r i s E ts> E
dirisetswa	d i r i s E ts> w a
dirisetswang	d i r i s E ts> w a N
dirisetswe	d i r i s E ts> w E
dirisitse	d i r i s i ts> E
dirisitseng	d i r i s i ts> E N
dirisitswe	d i r i s i ts> w E
dirisitsweng	d i r i s i ts> w E N
dirisiwa	d i r i s i w a
dirisiwang	d i r i s i w a N
dirisiwe	d i r i s i w E
dirisiweng	d i r i s i w E N
diriswa	d i r i s w a
diriswang	d i r i s w a N
dirite	d i r i t> E
diritibatsi	d i r i t> i b a ts> i
diriwa	d i r i w a
diriwang	d i r i w a N
diriwe	d i r i w E
dirobe	d i r O b E
dirobi	d i r O b i
diroboto	d i r O b O t> O
dirobotong	d i r O b O t> O N
dirolo	d i r O l O
dirolola	d i r O l O l a
dirololweng	d i r O l O l w E N
diromelwantle	d i r O m E l w a n tl> E
diromelwantleng	d i r O m E l w a n tl> E N
diromo	d i r O m O
diropeng	d i r O p> E N
dirori	d i r O r i
diroring	d i r O r i N
diroro	d i r O r O
diroto	d i r O t> O
diruiwa	d i r u i w a
diruiweng	d i r u i w E N
dirukutlhi	d i r u k> u tlh i
dirutegi	d i r u t> E x i
dirutweng	d i r u t> w E N
dirwa	d i r w a
dirwang	d i r w a N
dirwe	d i r w E
dirweng	d i r w E N
disa	d i s a
disaense	d i s a E n s E
disaenseng	d i s a E n s E N
disaga	d i s a x a
disakarete	d i s a k> a r E t> E
disakatuku	d i s a k> a t> u k> u
disampole	d i s a m p> O l E
disang	d i s a N
dišawara	d i S a w a r a
disefo	d i s E f O
disekele	d i s E k> E l E
disekerete	d i s E k> E r E t> E
disekereteng	d i s E k> E r E t> E N
disela	d i s E l a
disele	d i s E l E
diseleng	d i s E l E N
disenke	d i s E n k> E
disente	d i s E n t> E
disenyi	d i s E J i
disenying	d i s E J i N
dišere	d i S E r E
dišereng	d i S E r E N
disha	d i s a
disilintara	d i s i l i n t> a r a
disireletsi	d i s i r E l E ts> i
disiti	d i s i t> i
disitse	d i s i ts> E
disitswe	d i s i ts> w E
diso	d i s O
disontaga	d i s O n t> a x a
disosaete	d i s O s a E t> E
disuga	d i s u x a
disusu	d i s u s u
ditaele	d i t> a E l E
ditaelo	d i t> a E l O
ditaelong	d i t> a E l O N
ditafole	d i t> a f O l E
ditala	d i t> a l a
ditalente	d i t> a l E n t> E
ditaletso	d i t> a l E ts> O
ditanka	d i t> a n k> a
ditaolelo	d i t> a O l E l O
ditaolo	d i t> a O l O
ditaolong	d i t> a O l O N
ditapole	d i t> a p> O l E
ditatelelo	d i t> a t> E l E l O
ditatlhegelo	d i t> a tlh E x E l O
ditatofatso	d i t> a t> O f a ts> O
ditatso	d i t> a ts> O
ditebego	d i t> E b E x O
ditebegong	d i t> E b E x O N
ditebelelo	d i t> E b E l E l O
ditebelo	d i t> E b E l O
ditebo	d i t> E b O
ditebogo	d i t> E b O x O
ditediamo	d i t> E d i a m O
ditedu	d i t> E d u
diteemane	d i t> E E m a n E
ditefelo	d i t> E f E l O
ditegeniki	d i t> E x E n i k> i
ditekanyetso	d i t> E k> a J E ts> O
ditekanyetsokabo	d i t> E k> a J E ts> O k> a b O
ditekanyo	d i t> E k> a J O
ditekanyong	d i t> E k> a J O N
ditekelelo	d i t> E k> E l E l O
ditekelelong	d i t> E k> E l E l O N
ditekeletso	d i t> E k> E l E ts> O
ditekeletsong	d i t> E k> E l E ts> O N
ditekesi	d i t> E k> E s i
diteki	d i t> E k> i
diteko	d i t> E k> O
ditekolo	d i t> E k> O l O
ditekolong	d i t> E k> O l O N
ditekong	d i t> E k> O N
diteleko	d i t> l E k> O
ditelele	d i t> E l E l E
ditema	d i t> E m a
ditemalo	d i t> E m a l O
ditemana	d i t> E m a n a
ditemaneng	d i t> E m a n E N
diteme	d i t> E m E
ditementsi	d i t> E m E n ts> i
ditemogo	d i t> E m O x O
ditemosi	d i t> E m O s i
ditempe	d i t> E m p> E
ditena	d i t> E n a
diteng	d i t> E N
ditengwana	d i t> E N w a n a
ditennye	d i t> E n J E
diterama	d i t> E r a m a
diterameng	d i t> E r a m E N
diterata	d i t> E r a t> a
diterebe	d i t> E r E b E
diterekere	d i t> E r E k> E r E
diterekereng	d i t> E r E k> E r E N
diterene	d i t> E r E n E
ditereneng	d i t> E r E n E N
ditetla	d i t> E tl> a
ditetlelelo	d i t> E tl> E l E l O
ditetlo	d i t> E tl> O
dithaba	d i th a b a
dithabeng	d i th a b E N
dithadiso	d i th a d i s O
dithaelo	d i th a E l O
dithaere	d i th a E r E
dithaereng	d i th a E r E N
dithaetlele	d i th a E tl> E l E
dithaka	d i th a k> a
dithala	d i th a l a
dithamaga	d i th a m a x a
dithamalakwane	d i th a m a l a k> w a n E
dithanodi	d i th a n O d i
dithanoding	d i th a n O d i N
dithanolo	d i th a n O l O
dithanolong	d i th a n O l O N
dithapelo	d i th a p> E l O
dithapo	d i th a p> O
dithapolo	d i th a p> O l O
ditharabololo	d i th a r a b O l O l O
dithata	d i th a t> a
dithateng	d i th a t> E N
dithato	d i th a t> O
dithebe	d i th E b E
dithebolelo	d i th E b O l E l O
dithebolo	d i th E b O l O
dithefosano	d i th E f O s a n O
dithefosanong	d i th E f O s a n O N
ditheibole	d i th E i b O l E
ditheiboleng	d i th E i b O l E N
ditheipi	d i th E i p> i
dithekeniki	d i th E k> E n i k> i
dithekenikoneng	d i th E k> E n i k> O n E N
dithekenoloji	d i th E k> E n O l O d0Z i
dithekesi	d i th E k> E s i
dithekesing	d i th E k> E s i N
dithekethe	d i th E k> E th E
dithekiso	d i th E k> i s O
ditheko	d i th E k> O
dithekong	d i th E k> O N
dithendara	d i th E n d a r a
dithentara	d i th E n t> a r a
ditheo	d i th E O
ditheong	d i th E O N
dithepe	d i th E p> E
ditherisano	d i th E r i s a n O
ditherisanong	d i th E r i s a n O N
dithetsenyana	d i th E ts> E J a n a
dithibedi	d i th i b E d i
dithibo	d i th i b O
dithibololo	d i th i b O l O l O
dithini	d i th i n i
dithipa	d i th i p> a
dithitokgang	d i th i t> O kx a N
dithoba	d i th O b a
dithobane	d i th O b a n E
dithobego	d i th O b E x O
dithobong	d i th O b O N
dithoko	d i th O k> O
dithole	d i th O l E
dithomeletso	d i th O m E l E ts> O
dithomelo	d i th O m E l O
dithomo	d i th O m O
dithoro	d i th O r O
dithorong	d i th O r O N
dithota	d i th O t> a
dithotaneng	d i th O t> a n E N
dithotho	d i th O th O
dithotloetso	d i th O tl> O E ts> O
dithoto	d i th O t> O
dithotong	d i th O t> O N
dithotonyana	d i th O t> O J a n a
dithuanyi	d i th u a J i
dithulaganyetso	d i th u l a x a J E ts> O
dithulaganyetsong	d i th u l a x a J E ts> O N
dithulaganyo	d i th u l a x a J O
dithulaganyong	d i th u l a x a J O N
dithulano	d i th u l a n O
dithulanong	d i th u l a n O N
dithulelo	d i th u l E l O
dithumi	d i th u m i
dithunthung	d i th u n th u N
dithunya	d i th u J a
dithunyi	d i th u J i
dithupa	d i th u p> a
dithusathuto	d i th u s a th u t> O
dithusi	d i th u s i
dithuso	d i th u s O
dithutego	d i th u t> E x O
dithutiso	d i th u t> i s O
dithutlwa	d i th u tl> w a
dithuto	d i th u t> O
dithutong	d i th u t> O N
dithwadi	d i th w a d i
dithwe	d i th w E
dithweng	d i th w E N
ditikatiko	d i t> i k> a t> i k> O
ditikatikong	d i t> i k> a t> i k> O N
ditikologo	d i t> i k> O l O x O
ditikologong	d i t> i k> O l O x O N
ditikwatikwe	d i t> i k> w a t> i k> w E
ditikwatikweng	d i t> i k> w a t> i k> w E N
ditilo	d i t> i l O
ditilong	d i t> i l O N
ditipi	d i t> i p> i
ditiragalo	d i t> i r a x a l O
ditiragalong	d i t> i r a x a l O N
ditiragatso	d i t> i r a x a ts> O
ditiragatsong	d i t> i r a x a ts> O N
ditirelo	d i t> i r E l O
ditirelong	d i t> i r E l O N
ditiriso	d i t> i r i s O
ditirisong	d i t> i r i s O N
ditiro	d i t> i r O
ditirong	d i t> i r O N
ditlabakelo	d i tl> a b a k> E l O
ditlaleletsi	d i tl> a l E l E ts> i
ditlaleletso	d i tl> a l E l E ts> O
ditlalelo	d i tl> a l E l O
ditlamego	d i tl> a m E x O
ditlamegong	d i tl> a m E x O N
ditlamela	d i tl> a m E l a
ditlamelo	d i tl> a m E l O
ditlamelong	d i tl> a m E l O N
ditlamelwa	d i tl> a m E l w a
ditlamelwana	d i tl> a m E l w a n a
ditlamo	d i tl> a m O
ditlamong	d i tl> a m O N
ditlamorago	d i tl> a m O r a x O
ditlamoragong	d i tl> a m O r a x O N
ditlankana	d i tl> a n k> a n a
ditlatlana	d i tl> a tl> a n a
ditlelaemeteng	d i tl> E l a E m E t> E N
ditlelafo	d i tl> E l a f O
ditlelapa	d i tl> E l a p> a
ditlelempe	d i tl> E l E m p> E
ditlelereke	d i tl> E l E r E k> E
ditleliniki	d i tl> E l i n i k> i
ditleloko	d i tl> E l O k> O
ditlhabano	d i tlh a b a n O
ditlhabelo	d i tlh a b E l O
ditlhabi	d i tlh a b i
ditlhabologo	d i tlh a b O l O x O
ditlhabologong	d i tlh a b O l O x O N
ditlhabololo	d i tlh a b O l O l O
ditlhabololong	d i tlh a b O l O l O N
ditlha	d i tlh a
ditlhaeletsano	d i tlh a E l E ts> a n O
ditlhaeletsanong	d i tlh a E l E ts> a n O N
ditlhaelo	d i tlh a E l O
ditlhaga	d i tlh a x a
ditlhagala	d i tlh a x a l a
ditlhagelelo	d i tlh a x E l E l O
ditlhagiso	d i tlh a x i s O
ditlhagisong	d i tlh a x i s O N
ditlhagiswa	d i tlh a x i s w a
ditlhaka	d i tlh a k> a
ditlhakaina	d i tlh a k> a i n a
ditlhakakgolo	d i tlh a k> a kx O l O
ditlhakeng	d i tlh a k> E N
ditlhaketlhake	d i tlh a k> E tlh a k> E
ditlhakgolo	d i tlh a kx O l O
ditlhako	d i tlh a k> O
ditlhakong	d i tlh a k> O N
ditlhakore	d i tlh a k> O r E
ditlhakwana	d i tlh a k> w a n a
ditlhale	d i tlh a l E
ditlhaloganyo	d i tlh a l O x a J O
ditlhaloganyong	d i tlh a l O x a J O N
ditlhalosetso	d i tlh a l O s E ts> O
ditlhaloso	d i tlh a l O s O
ditlhalosong	d i tlh a l O s O N
ditlhamane	d i tlh a m a n E
ditlhamo	d i tlh a m O
ditlhangwa	d i tlh a N w a
ditlhapa	d i tlh a p> a
ditlhapi	d i tlh a p> i
ditlhare	d i tlh a r E
ditlhase	d i tlh a s E
ditlhaselo	d i tlh a s E l O
ditlhatlagano	d i tlh a tl> a x a n O
ditlhatlhobo	d i tlh a tlh O b O
ditlhatlhobong	d i tlh a tlh O b O N
ditlhatlogo	d i tlh a tl> O x O
ditlhatshana	d i tlh a tsh a n a
ditlhobaelo	d i tlh O b a E l O
ditlhobolo	d i tlh O b O l O
ditlhodi	d i tlh O d i
ditlhogo	d i tlh O x O
ditlhogong	d i tlh O x O N
ditlhogwana	d i tlh O x w a n a
ditlhokang	d i tlh O k> a N
ditlhokego	d i tlh O k> E x O
ditlhokegong	d i tlh O k> E x O N
ditlhoko	d i tlh O k> O
ditlhokwa	d i tlh O k> w a
ditlhola	d i tlh O l a
ditlhomamiso	d i tlh O m a m i s O
ditlhomo	d i tlh O m O
ditlhong	d i tlh O N
ditlhongwa	d i tlh O N w a
ditlhopha	d i tlh O ph a
ditlhophana	d i tlh O ph a n a
ditlhophelo	d i tlh O ph E l O
ditlhopheng	d i tlh O ph E N
ditlhopho	d i tlh O ph O
ditlhophong	d i tlh O ph O N
ditlhotlheletso	d i tlh O tlh E l E ts> O
ditlhotlho	d i tlh O tlh O
ditlhotlhomisi	d i tlh O tlh O m i s i
ditlhotlhomiso	d i tlh O tlh O m i s O
ditlhotlhomisong	d i tlh O tlh O m i s O N
ditlhotlhwa	d i tlh O tlh w a
ditlhotshwana	d i tlh O tsh w a n a
ditlhwatlhwa	d i tlh w a tlh w a
ditlogelo	d i tl> O x E l O
ditlogolo	d i tl> O x O l O
ditlogolwana	d i tl> O x O l w a n a
ditlolo	d i tl> O l O
ditlolomolao	d i tl> O l O m O l a O
ditlontlokwane	d i tl> O n tl> O k> w a n E
ditloso	d i tl> O s O
ditlotla	d i tl> O tl> a
ditlwaelo	d i tl> w a E l O
ditlwaelong	d i tl> w a E l O N
ditogamaano	d i t> O x a m a n O
ditogamaanong	d i t> O x a m a n O N
ditogwa	d i t> O x w a
ditokafatso	d i t> O k> a f a ts> O
ditokafatsong	d i t> O k> a f a ts> O N
ditokana	d i t> O k> a n a
ditokologo	d i t> O k> O l O x O
ditokololo	d i t> O k> O l O l O
ditokololong	d i t> O k> O l O l O N
ditomo	d i t> O m O
ditona	d i t> O n a
ditonakgolo	d i t> O n a kx O l O
ditone	d i t> O n E
ditonki	d i t> O n k> i
ditopo	d i t> O p> O
ditopong	d i t> O p> O N
ditoro	d i t> O r O
ditorong	d i t> O r O N
ditoropo	d i t> O r O p> O
ditoropokgolo	d i t> O r O p> O kx O l O
ditoropokgolong	d i t> O r O p> O kx O l O N
ditoropong	d i t> O r O p> O N
ditoto	d i t> O t> O
ditotoma	d i t> O t> O m a
ditsabakedi	d i ts> a b a k> E d i
ditsadiso	d i ts> a d i s O
ditsagagwe	d i ts> a x a x w E
ditsala	d i ts> a l a
ditsaleng	d i ts> a l E N
ditsalo	d i ts> a l O
ditsamaiso	d i ts> a m a i s O
ditsamaisong	d i ts> a m a i s O N
ditsamao	d i ts> a m a O
ditsamelo	d i ts> a m E l O
ditsebe	d i ts> E b E
ditsebeng	d i ts> E b E N
ditsebetsebe	d i ts> E b E ts> E b E
ditse	d i ts> E
ditsela	d i ts> E l a
ditselakgolo	d i ts> E l a kx O l O
ditselana	d i ts> E l a n a
ditseleng	d i ts> E l E N
ditšhaba	d i tSh a b a
ditšhabatšhaba	d i tSh a b a tSh a b a
ditšhabeng	d i tSh a b E N
ditsha	d i tsh a
ditshane	d i tsh a n E
ditšhate	d i tSh a t> E
ditshebong	d i tsh E b O N
ditsheding	d i tsh E d i N
ditshegetso	d i tsh E x E ts> O
ditshego	d i tsh E x O
ditshegwana	d i tsh E x w a n a
ditshekamelo	d i tsh E k> a m E l O
ditshekatsheko	d i tsh E k> a tsh E k> O
ditshekatshekong	d i tsh E k> a tsh E k> O N
ditšheke	d i tSh E k> E
ditshekeletsa	d i tsh E k> E l E ts> a
ditsheko	d i tsh E k> O
ditshela	d i tsh E l a
ditshele	d i tsh E l E
ditšhelete	d i tSh E l E t> E
ditshelo	d i tsh E l O
ditshenekegi	d i tsh E n E k> E x i
ditshenekeging	d i tsh E n E k> E x i N
ditsheng	d i tsh E N
ditshenolo	d i tsh E n O l O
ditshenyegelo	d i tsh E J E x E l O
ditshenyegelong	d i tsh E J E x E l O N
ditshenyego	d i tsh E J E x O
ditshenyo	d i tsh E J O
ditshepiso	d i tsh E p> i s O
ditshesane	d i tsh E s a n E
ditšhesele	d i tSh E s E l E
ditshetlha	d i tsh E tlh a
ditshetsana	d i tsh E ts> a n a
ditshiamelo	d i tsh i a m E l O
ditshiamelong	d i tsh i a m E l O N
ditshiamiso	d i tsh i a m i s O
ditshiamololo	d i tsh i a m O l O l O
ditshiamololong	d i tsh i a m O l O l O N
ditshidilo	d i tsh i d i l O
ditshika	d i tsh i k> a
ditshikare	d i tsh i k> a r E
ditshikeng	d i tsh i k> E N
ditshimega	d i tsh i m E x a
ditshingwana	d i tsh i N w a n a
ditshingwaneng	d i tsh i N w a n E N
ditshipi	d i tsh i p> i
ditšhipisi	d i tSh i p> i s i
ditshireletsego	d i tsh i r E l E ts> E x O
ditshireletso	d i tsh i r E l E ts> O
ditshitshinyo	d i tsh i tsh i J O
ditshoding	d i tsh O d i N
ditshokolo	d i tsh O k> O l O
ditsholetsi	d i tsh O l E ts> i
ditsholofelo	d i tsh O l O f E l O
ditsholofetso	d i tsh O l O f E ts> O
ditšhono	d i tSh O n O
ditshoswane	d i tsh O s w a n E
ditshotlo	d i tsh O tl> O
ditshoutiso	d i tsh O u t> i s O
ditshoutisong	d i tsh O u t> i s O N
ditshupane	d i tsh u p> a n E
ditshupatlotlo	d i tsh u p> a tl> O tl> O
ditshupatlotlong	d i tsh u p> a tl> O tl> O N
ditshupelo	d i tsh u p> E l O
ditshupetso	d i tsh u p> E ts> O
ditshupo	d i tsh u p> O
ditšhupu	d i tSh u p> u
ditshutiso	d i tsh u t> i s O
ditshwaelo	d i tsh w a E l O
ditshwaelong	d i tsh w a E l O N
ditshwanelo	d i tsh w a n E l O
ditshwanelong	d i tsh w a n E l O N
ditshwanetse	d i tsh w a n E ts> E
ditshwantshetso	d i tsh w a n tsh E ts> O
ditshwantshiso	d i tsh w a n tsh i s O
ditshwantsho	d i tsh w a n tsh O
ditshwantshong	d i tsh w a n tsh O N
ditshwantshonyana	d i tsh w a n tsh O J a n a
ditshwao	d i tsh w a O
ditshwaro	d i tsh w a r O
ditshwene	d i tsh w E n E
ditshwenyego	d i tsh w E J E x O
ditshwetso	d i tsh w E ts> O
ditshwetsong	d i tsh w E ts> O N
ditshweu	d i tsh w E u
ditsiabadimo	d i ts> i a b a d i m O
ditsibogelo	d i ts> i b O x E l O
ditsibogo	d i ts> i b O x O
ditsidifatsi	d i ts> i d i f a ts> i
ditsie	d i ts> i E
ditsodintsi	d i ts> O d i n ts> i
ditso	d i ts> O
ditsompelo	d i ts> O m p> E l O
ditsong	d i ts> O N
ditsopotla	d i ts> O p> O tl> a
ditsotsi	d i ts> O ts> i
ditsuane	d i ts> u a n E
ditsuatsue	d i ts> u a ts> u E
ditswaki	d i ts> w a k> i
ditswalo	d i ts> w a l O
ditswantle	d i ts> w a n tl> E
ditsweletso	d i ts> w E l E ts> O
ditsweletsong	d i ts> w E l E ts> O N
ditsweng	d i ts> w E N
ditswerere	d i ts> w E r E r E
dituediso	d i t> u E d i s O
dituedisong	d i t> u E d i s O N
dituelelo	d i t> u E l E l O
dituelo	d i t> u E l O
dituelong	d i t> u E l O N
dituki	d i t> u k> i
ditulo	d i t> u l O
ditumalano	d i t> u m a l a n O
ditumalanong	d i t> u m a l a n O N
ditumammogo	d i t> u m a m m O x O
ditumanosi	d i t> u m a n O s i
ditumediso	d i t> u m E d i s O
ditumelano	d i t> u m E l a n O
ditumelanong	d i t> u m E l a n O N
ditumelelano	d i t> u m E l E l a n O
ditumelo	d i t> u m E l O
ditumelong	d i t> u m E l O N
ditumelonyana	d i t> u m E l O J a n a
ditwatsi	d i t> w a ts> i
diyamaleng	d i j a m a l E N
diyunibesithi	d i j u n i b E s i th i
diyunibesithing	d i j u n i b E s i th i N
diyunione	d i j u n i O n E
diyuniti	d i j u n i t> i
dubakana	d u b a k> a n a
dube	d u b E
dubisa	d u b i s a
duduetsa	d u d u E ts> a
duedisa	d u E d i s a
duedisang	d u E d i s a N
duedisetswa	d u E d i s E ts> w a
duedisitswe	d u E d i s i ts> w E
duedisiwa	d u E d i s i w a
duedisiwang	d u E d i s i w a N
duela	d u E l a
duelang	d u E l a N
duele	d u E l E
duelela	d u E l E l a
duelelang	d u E l E l a N
duelele	d u E l E l E
dueleleng	d u E l E l E N
duelelwa	d u E l E l w a
duelelwang	d u E l E l w a N
duelelwe	d u E l E l w E
duelelweng	d u E l E l w E N
dueleng	d u E l E N
dueletse	d u E l E ts> E
dueletseng	d u E l E ts> E N
dueletswe	d u E l E ts> w E
dueletsweng	d u E l E ts> w E N
duelwa	d u E l w a
duelwang	d u E l w a N
duelwe	d u E l w E
duetse	d u E ts> E
duetseng	d u E ts> E N
duetswe	d u E ts> w E
duetsweng	d u E ts> w E N
dula	d u l a
dulang	d u l a N
dule	d u l E
duleng	d u l E N
duletswe	d u l E ts> w E
duma	d u m a
dumaduma	d u m a d u m a
dumalana	d u m a l a n a
dumalanang	d u m a l a n a N
dumalane	d u m a l a n E
dumalanele	d u m a l a n E l E
dumalaneng	d u m a l a n E N
dumalanwa	d u m a l a n w a
dumalanwe	d u m a l a n w E
dumalanweng	d u m a l a n w E N
dumang	d u m a N
dumedisa	d u m E d i s a
dumedisang	d u m E d i s a N
dumedise	d u m E d i s E
dumela	d u m E l a
dumelana	d u m E l a n a
dumelanang	d u m E l a n a N
dumelane	d u m E l a n E
dumelaneng	d u m E l a n E N
dumelang	d u m E l a N
dumelanwa	d u m E l a n w a
dumelanwe	d u m E l a n w E
dumelanweng	d u m E l a n w E N
dumele	d u m E l E
dumelela	d u m E l E l a
dumelelana	d u m E l E l a n a
dumelelang	d u m E l E l a N
dumelelanweng	d u m E l E l a n w E N
dumelele	d u m E l E l E
dumelelwa	d u m E l E l w a
dumelelwang	d u m E l E l w a N
dumelelwe	d u m E l E l w E
dumeleng	d u m E l E N
dumelesegang	d u m E l E s E x a N
dumelesegeng	d u m E l E s E x E N
dumeletse	d u m E l E ts> E
dumeletswe	d u m E l E ts> w E
dumeletsweng	d u m E l E ts> w E N
dumella	d u m E l l a
dumelwa	d u m E l w a
dumelwang	d u m E l w a N
dumetse	d u m E ts> E
dumetswe	d u m E ts> w E
dumetsweng	d u m E ts> w E N
dumisa	d u m i s a
dumisiwa	d u m i s i w a
dupelela	d u p> E l E l a
dusa	d u s a
dutilweng	d u t> i l w E N
dutla	d u tl> a
dutlang	d u tl> a N
dutle	d u tl> E
dutleng	d u tl> E N
dutse	d u ts> E
dutseng	d u ts> E N
ebu	E b u
edileng	E d i l E N
edimola	E d i m O l a
ee	E E
efa	E f a
efe	E f E
efoga	E f O x a
efogang	E f O x a N
efoge	E f O x E
efogeng	E f O x E N
ege	E x E
ehee	E h E E
ehe	E h E
ela	E l a
elang	E l a N
eleditse	E l E d i ts> E
elediwa	E l E d i w a
elediwang	E l E d i w a N
ele	E l E
elela	E l E l a
elelang	E l E l a N
elelediwa	E l E l E d i w a
elele	E l E l E
elelela	E l E l E l a
elelelang	E l E l E l a N
elelele	E l E l E l E
eleleng	E l E l E N
eleletsa	E l E l E ts> a
eleletse	E l E l E ts> E
elelwa	E l E l w a
eletsa	E l E ts> a
eletsang	E l E ts> a N
eletse	E l E ts> E
eletsega	E l E ts> E x a
eletsegang	E l E ts> E x a N
eletsege	E l E ts> E x E
eletsegeng	E l E ts> E x E N
eletseng	E l E ts> E N
eletswa	E l E ts> w a
elwa	E l w a
ema	E m a
emaema	E m a E m a
emana	E m a n a
emang	E m a N
eme	E m E
emela	E m E l a
emelana	E m E l a n a
emelanang	E m E l a n a N
emelang	E m E l a N
emele	E m E l E
emelela	E m E l E l a
emelelana	E m E l E l a n a
emelelanang	E m E l E l a n a N
emelelang	E m E l E l a N
emelelwang	E m E l E l w a N
emeleng	E m E l E N
emelense	E m E l E n s E
emeletse	E m E l E ts> E
emeletseng	E m E l E ts> E N
emelwa	E m E l w a
emelwang	E m E l w a N
emelwe	E m E l w E
emeng	E m E N
emetse	E m E ts> E
emetseng	E m E ts> E N
emetswe	E m E ts> w E
emetsweng	E m E ts> w E N
emisa	E m i s a
emisang	E m i s a N
emisediwa	E m i s E d i w a
emise	E m i s E
emiseng	E m i s E N
emisetsa	E m i s E ts> a
emisetsang	E m i s E ts> a N
emisetse	E m i s E ts> E
emisitse	E m i s i ts> E
emisitseng	E m i s i ts> E N
emisitswe	E m i s i ts> w E
emisitsweng	E m i s i ts> w E N
emisiwa	E m i s i w a
emisiwe	E m i s i w E
emiwa	E m i w a
ena	E n a
ene	E n E
enfelopo	E n f E l O p> O
eng	E N
engwa	E N w a
engwe	E N w E
enjeneng	E n d0Z E n E N
eno	E n O
enta	E n t> a
entela	E n t> E l a
entisa	E n t> i s a
entiwa	E n t> i w a
entiwang	E n t> i w a N
eo	E O
epa	E p> a
epe	E p> E
epela	E p> E l a
epelwe	E p> E l w E
epile	E p> i l E
epiwa	E p> i w a
epiwang	E p> i w a N
epololwa	E p> O l O l w a
esele	E s E l E
esi	E s i
eta	E t> a
etang	E t> a N
etegediwa	E t> E x E d i w a
etegela	E t> E x E l a
